Address,Held,Points,Amount
0xd1d26e8f7c71781fca279fb8d0a374fba9431193,116,3,5153.374233
0x0bb521bd6b2a0eb81a0750e0d78c50917323d958,45,2,5153.374233
0x0ccb2e9fb6fd9a0cd52369c82b1fae2885489ece,31,2,5153.374233
0x1acb0bd525b02e48fdbe96baf4ea366d7fd32aae,24,2,5153.374233
0x363deba39c26918594aa8c0319293fa50be031af,20,2,5153.374233
0x4d41e3565e5772ddbfe07fbec98013a688920806,20,2,5153.374233
0x9eadb4c0e373404e89b8916aa295b9fd597a0d91,20,2,5153.374233
0xf1f08a5996e7790a58b251c5de3c78d755c103fe,20,2,5153.374233
0x5ebcb20bdea4364b3c127e919192f3734e44c132,16,2,5153.374233
0xb549e9891c7a2a5081305a003bbb02ac2ce308a6,15,2,5153.374233
0xdeb740e652bd1411bce53db7a9caa7b93c4a8a9b,14,2,5153.374233
0x6984abf56f07a9b77f9c86505662df02abd18ca9,12,2,5153.374233
0x1c0d75faa13ee79f746618833689dccf27081b0b,11,2,5153.374233
0x391b87b1e72d6743e09aeeac7972adf06e42e8c2,11,2,5153.374233
0xd7941ba4c875569f7730d28c22a7b3ce62a1d4d4,11,2,5153.374233
0x1fde2e8657f0ef39f2fa599f8718ece16a750377,10,2,5153.374233
0x2296604466f30e2f308c6945d6320a5b2636b2e0,10,2,5153.374233
0x28d97add070d26e55c5e4a5f863f1f5fee7621df,10,2,5153.374233
0x32f1e28b7211ab43024c93fba05bf1b8a10f6a8a,10,2,5153.374233
0x3eff592ba8a49f915e38b7274ea4ff0aabac8eff,10,2,5153.374233
0x477dbec58bad6f6318ca70aff2d9953ba3b4dcbb,10,2,5153.374233
0x5beb15bd30407742cf284d3061f6210319d58937,10,2,5153.374233
0x6920baf4c25bb7ac405df8b2d3756dcd51272324,10,2,5153.374233
0x6b993428cdb4162cac6d9749abb352442cec760b,10,2,5153.374233
0x80cd06844cdddec53889ad845a08383751bd3320,10,2,5153.374233
0x91db62bbb2a0361dbd65a0e9b2690dbee8b55b30,10,2,5153.374233
0x972588106474dac0ae166a5ce335d6c8d1145766,10,2,5153.374233
0x9fe24e47e1645708a57261dfe6719c54c0ea3fd6,10,2,5153.374233
0xa019b8c19144fd14b61436ab3eb39642434a1a47,10,2,5153.374233
0xa9ebd285aed3e918507e1a15188f4986ffbbd1f2,10,2,5153.374233
0xb1cc6e3750e6c9aeb5926fa579fabd9599d96a75,10,2,5153.374233
0xb313d19a0df3ce833546305528738157ce9f05de,10,2,5153.374233
0xff0847bd6c84bb02bb0dc617e59def64e309c756,10,2,5153.374233
0x414128601a932e7dc45355183c8a08a46e6497af,9,1,1717.791411
0xc5e349c8b9b381e2e849edf2de38264e60d0c2f8,9,1,1717.791411
0xab9fcac42ce5614c592426b80f3a34c3bdfde698,8,1,1717.791411
0xcdcd48f77a34dc3e1d12a0f93b77677c76993865,8,1,1717.791411
0x07d5e4470b13d8dddcb9d894789197e9366a953d,7,1,1717.791411
0x08d6191bf9548c41d1deb3b00ff70a7539b45841,7,1,1717.791411
0x4a0010c14ae9c0e7cd07a10a8860ccc9929afa10,7,1,1717.791411
0xa6bf3910ca1d6da87d180b3da6237a50633a4c72,7,1,1717.791411
0x0851885a2baec9be7b052fea94ff211e4207eef2,6,1,1717.791411
0x131a6606ab4cf8ccf0f67caee009c04291fcb47b,6,1,1717.791411
0x1478e099f87c642547687080e8411f711d874929,6,1,1717.791411
0x2fb835ff22f0a648dbe6c1001590739ef365ee1d,6,1,1717.791411
0x45238161e909921a3829c402537a10416ef55f38,6,1,1717.791411
0x4a3e09669b55f0e935d962319301fae7cbd01524,6,1,1717.791411
