HolderAddress,TokenAmount
0xb45e2f1b1854e68716a198922dce63b8566d2128,66
0x99f4242e7f95ffc83151d86cfe7db78630bde49e,53
0x058d55e9bdbdc42637f9fac4f4f86d7002d5cd4c,52
0xe0268949232a2fb9099f31faca947c12ffb54f89,48
0x4562fb470f02198315e77cdeae0a8c6c0434a57d,44
0xf7ee6c2f811b52c72efd167a1bb3f4adaa1e0f89,36
0xdfa46ca527c502f6ec459d6fc98de2017bbe4511,34
0x46a1f4c003a1cafacfe63c60f21ab874a9e13705,33
0x6a160fb296cec7f849e37817839f4a229d83a21d,27
0x52e72e4e210a2a5999e2fc3d14c134b8a1d55fe8,27
0x5bc4134ab3e945da2d853663e8963b4a0cb38535,23
0x0ea142441af0e36e3402f737a356133843035f36,23
0x4673174468a9438c8c3ce45b99558790f68d002d,23
0x7f8df7a5d72e88ea27798ff604959d235aab5090,22
0xfc2918ee0d5c7b3b7ef51b576a853e1d832d4bbf,21
0xdfdec88a797b8855b40dfe21d2f31e0140e6a1f9,20
0x783c72467a2aab6c083b89c5b8b1edcf939d1321,19
0x3dac22ed25519610456c8474c86e5fe320ad6828,18
0xda7d81f16d82d42c98648207f62aeb47799e8b04,18
0x015ca88023a79b62f72e9f4fdc04ee890053e03c,18
0x0c86fe69fa22ff01e7d435694547ac601a066db5,17
0xfa3269147f830b603ee0b444d9e85f611156387e,17
0x598a6a1b562286236248eac59385a00f3682e8c8,17
0xb825152e9f34b4c8e3f1721d60cc7650277ca441,17
0xc324b07a386b38c2443c9afbbe20eb97b57b7e7a,17
0xb023f9bcd39fb497467b1891648842e9bf206278,15
0x8f11a50844ea912d8526d8a150edeb8edf7215ff,15
0x9bb0a03c1f3ea549b4556e5fac5763e512d0e4dd,15
0x21897e7ee89a8189986920a87a2b8c5bad505a3f,14
0xef512beb56b5b52ce07cda4c5ac243dc9da20849,14
0xeadabef15c49f367a88f87e11bd94bd44a02ba5f,14
0xf5656fd37b1d30b96493ac543260c66e4df44b1a,14
0xbbd69820d5fd3df42ddde84e26b2a72225ef21b2,13
0x2889d7820e5c277dafb7223d4cf0040fccfec3b4,13
0xeaae0d9cda5aeb9ba96450a33cde0664e6d88c61,12
0x27c1ea76c391351896275c71f4cd00b5c01454f2,11
0x223e6eef8aab98a8c7701df307771f4e1a979d28,11
0x838c39443b4955bb1608af0d2d5f316133f8b55c,11
0x40d775827365ae4d54cbc08a1a1c4f586b2c1d0a,11
0xcd51e184e472521db731cc05684b3cedc7298e61,10
0xb89ef9c7a2394f8814b78500ac19d26bf5644bce,10
0x3752b9e1e01148274642d59a7717133f1a37a2c1,10
0x8da2eb2f2409400c1397dee39b761fb6022c7241,10
0x8c1d452c33706ebead3308400edd4e6a23cd4f32,10
0xac248e36e949c9fb99d140034b8d75db15aa5b09,10
0xf9f9f32fcf6c47b1d4cefa9b3d2bb90da92e5d46,10
0xd6c68726a0f1bdebe4d658b2c092126fdcc7379b,10
0x820997eae97a4200e398aa307ff7b097a711264e,10
0xb0796ebcf58e986923415a1ad67e4e753411da0a,10
0x7f8b0457941ea2dfa8d806c008935a1c0dcdf3ec,10
0xa5fedba481e3836aebed0dc7ca2f183948c4acdc,10
