HolderAddress,TokenAmount
0xc8cfac3f1e083d0ffa978ee82b7a5c4bec7b51a7,289
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,178
0xcaa1299f86744874f8c6f66f81f096cdea044718,95
0x760d06eb52855dda4f27ed66e6adbe89c1dbd1f5,88
0x771face11a14fb5c8ddb131cb1851f9531e37e2f,75
0xb1cacc3bbddc12d6911b6424613ac845e577dcf0,67
0x2ecfb2f430cacb4b8361e8f5a08e6c76e42410be,66
0x0fa67ac110e442bac595c931e63bf0dcb3242c6c,61
0xd6d6d3ead9c5165a57b7b335300ef392395d44c2,60
0x3febb7a93aa9865c7bc1ae14dcc94ff0a7132d46,60
0x6662304e3198c8d54530fbdf02a869fa84537639,57
0x8163cceec5de6b788762051a175fdbd4b2a4466d,56
0x110fcf02604f276f9fab52a96030598e1de79c68,55
0xa2d2e484bfc5393eca657ef0c3e8c6c63c593ab0,52
0xe7ae2e8811be1ee814d35b36dbcd107be60b46ef,47
0x2f18b0b0d6c0bd56b6da2785ede406832f273d25,47
0x896967704caa0f718459f68d2336e31498b6a4ef,47
0xe6563194f9baa6e3064086a98bf73608fc17cbfd,45
0x681a64617e1083c36cbebbd8ac9e64938d3c2591,44
0xa7c9c91bc610ddb41e864cb617e8327914270563,43
0xfa19e36d0321b22a3fca87e852c8c7c51b882dd7,43
0x983cb3da627aac4d8c0979e76d9619af2f350490,41
0x6f5b679e376deea6b7a0b7d544f34400f8ec99d3,39
0xd0322cd77b6223f777b254e7f18fa55d74756b52,38
0x0925d347f811d264879271d2905f54309eaccb93,38
0x35bd17b9649afe0db984f921c7cf5b241eb5ee52,38
0xdc954aeb2737e12a5042c9454c2c08e3e7e5b6cf,38
0x3ce4ba9e7040ca2c21d8efbb26b7c3c1b138a9c0,37
0x407fe60dd56c32d8cec52c20748683d4e5aa9ffd,36
0x56511585a5a23dea48fcc0aa0a9a13800dec0531,36
0x49317b33a82fb576fba1462364d02569e766e33a,35
0x92c7e46e07bcd564c1a838ea5233256f9a0f34f0,35
0x4c9b9ae7c62eac1946070b772d424af8647acd11,33
0x1ba997cbf3eb16e7399c9daec17fa60b53f9c13f,33
0x133fab28caec665ade2a67d1b360ea1eb18b812c,33
0x103c1e3ef5ea441b18de28b78f858710b11dc5bd,32
0x29833e6a24d64a382d3bc34d1caa631091ad016b,32
0xc86e86a2e84d27060efdb549904f33cab026de37,32
0x18e10f83e1102639ef8a4185b30d5366a2252be5,32
0xea02b8e433d73ba0a44762faf0254b0183e359fb,31
0x1825ac5015bd754e9c643481f50ac11a8f4bc294,31
0x2e0d63ffcb08ea20ff3acdbb72dfec97343885d2,31
0x43b42b17bab13b79679ce1dfa3f706831ee96f72,31
0xc3f58fd90e93261ce18ba55287c6ae7cfd9aec24,31
0x09516aee75758321c92de32fb6789307e20071f9,30
0x0407e799b5ec310f37f77e11bb559ba9aaeadf8c,30
0xb91b71ee17b6adc358c325cba30186758454b2ab,30
0xb2d68609a7374d81ee096c965467bba5c20e6dd8,30
0x5c140051f7b49db97cefa4ed57aa4c1f91d46c00,30
0x2895e412d60af197ff293f28174f67c1db0178e3,30
0xc60633d64e217425a17d574baa51d4d1f648d630,30
0xdd73e2072a969969a3cf54c7da7d93def1416fb0,30
0x5492e0112e49e5fed0a7b1278c76df655e509a99,30
0xf53a550800de2523c8ae1845db20d385a4a83c56,30
0xd80a70370695c68503aaf1552926d6477e585947,30
0x5cc8a75a5dce35b56ecc8bcaa984598ce1e6d3a4,30
0xaaf1bd09e780c1c71e20929708154271e7a36e89,30
0x07834e0a49149811b7763849a5dc4b6882fe0da9,29
0x720a4fab08cb746fc90e88d1924a98104c0822cf,29
0x23d741527e183d2eb5af6a14f336fe08cf970d34,29
0xe7117e5291f47af3186c11cdb2f3b134775871e7,29
0x8a08f5acb45d1c28c5db1f0f7f02ebc9a3bff731,29
0x60c1c80bc74637fde43823d75455b580be9c6aab,29
0x7d761b63b489001273461650ac85a6b8ac2cf4df,29
0x84f0cee6916d7bdceb696ff8d8dd6f1ef0d18e9f,28
