addr,amount,class,reason,community
0x86a41524cb61edd8b115a72ad9735f8068996688,73,dead,contract,buddah-bears
0x2ec6568540796607ffb28c1e63d9160f44df9a95,43,dead,contract,buddah-bears
0x2ae04f107d7238da60c9d72155584793377e9e21,30,dead,never-sent,buddah-bears
0x24bb3fbba92b9697487b9ce7e216c03a7e6a38ce,23,dead,contract,buddah-bears
0xff0847bd6c84bb02bb0dc617e59def64e309c756,20,dead,contract,buddah-bears
0xba96eb3866f0562d66837821fc803b1f67a38c4e,19,dead,never-sent,buddah-bears
0xdb62c322b17a2c3bf51775be039e7e3b93553396,19,dead,contract,buddah-bears
0x1ac5c7a8f41d78849d73f13ecb8238869246b8c2,18,dead,contract,buddah-bears
0x77f31543d45b834fbb928d6e546eecddea5c8394,18,dead,contract,buddah-bears
0x3ee1c068fc9653489a5d03ab925047efeeb4bc26,15,dead,contract,buddah-bears
0xa55d80095f811c3b353e7a39391dede75ae0d25f,12,dead,contract,buddah-bears
0x769ba16f31a73b635e75c17fccc3db4feb2521ab,12,dead,contract,buddah-bears
0xc81484137f6fc2fb9115d176ce54abd4f2fa7e6b,10,dead,contract,buddah-bears
0x35524a1a02d6c89c8fcead21644cb61b032bd3de,10,dead,contract,buddah-bears
0x93f55c0edee527941e1d2cfe364710bc6589ec6d,8,dead,contract,buddah-bears
0x9856b227b644718bd4a9f51522120fde65204991,7,dead,contract,buddah-bears
0xc08a111f737c5ffc07a2558c554dfc4de5694ec0,7,dead,contract,buddah-bears
0xf3d0cb1b3db63a5f98a0ecb05d0d9f263058b7cb,6,dead,contract,buddah-bears
0xb348e87548e4d5bdf86c8d8724a123f1a607ec5f,6,dead,contract,buddah-bears
0x12bae99ae3d7d52fe84c4b61ec8bcd40cc7cadac,6,dead,contract,buddah-bears
0x7281387088e5260328972628c4f50d359fecc983,6,dead,contract,buddah-bears
0xdd3451d9a9f569f55ede3e215cbd1fd600d26b89,6,dead,contract,buddah-bears
0xfc99c0c8d697ab7a7262640145f453c988d36b75,5,dead,contract,buddah-bears
0x8037a4fc39ec7d421cc3edce97b1942b0a4cad41,5,dead,contract,buddah-bears
0x4d68c89a5a8cde4f19dd0e45b977254a343ffc68,5,dead,contract,buddah-bears
0x4b40c999c3fa6a69b9413becc82c77106da8a039,5,dead,contract,buddah-bears
0x469e388a9d74a7b9af4039a458d8d4de7957c186,5,dead,contract,buddah-bears
0x3f9343a5b2d1ccad06a07219b7d74e3cbff1b8cb,5,dead,contract,buddah-bears
0xcbef34c58f72c3bf19eabae53ce8116019d5920f,5,dead,never-sent,buddah-bears
0x5ebcb20bdea4364b3c127e919192f3734e44c132,5,dead,contract,buddah-bears
0x23749535c3ffedb99d8088907bb5ebb40f1d7b8e,5,dead,contract,buddah-bears
0xf202be18d1bdcab2e025e4487ebe92fb9cc75c91,4,dead,contract,buddah-bears
0x26013b787aac632a92483f669e2de85103ad2536,4,dead,contract,buddah-bears
0x61cfccadf1608117b50681b8f2429e0762387b35,4,dead,contract,buddah-bears
0x785fc8c841f73e5f64903286a6efa46785de8e24,4,dead,contract,buddah-bears
0x93e68d3a01d5e914dc45da9688c351ce053c619d,4,dead,contract,buddah-bears
0x398421be2891ed44a35b705b0838ed59fdfd7555,4,dead,contract,buddah-bears
0x5a7749f83b81b301cab5f48eb8516b986daef23d,4,dead,contract,buddah-bears
0xc32d2c2797c8d340c71d7108daa2bb148ed364b6,4,dead,contract,buddah-bears
0x16ee2e28af5e71c5a2a7761aaa84e856dc8f2ff1,3,dead,contract,buddah-bears
0x5e78e96187789aefc38eaf1790a40a87eb0b641f,3,dead,contract,buddah-bears
0x6bd0db0cb440d84a6e3c6c12673ad89db7f25340,3,dead,contract,buddah-bears
0x6000e277496a9d3d0961c080da88c5b38a6848c3,3,dead,contract,buddah-bears
0x3e8edfce719d939cb987607dce7543a02225413c,3,dead,contract,buddah-bears
0x01c055d85859e192120d401e4717f8ecb5d35063,3,dead,contract,buddah-bears
0x0738711f103185a92dc446ec4c1e2381787b1a46,3,dead,contract,buddah-bears
0x0443e05dd3bcff32ad4e74d32a70aff2bbd730cc,3,dead,contract,buddah-bears
0xde3697dda384ce178d04d8879f7a66423f72a326,3,dead,contract,buddah-bears
0x363deba39c26918594aa8c0319293fa50be031af,3,dead,contract,buddah-bears
0x107f8778af1302676bf2e58ea124b99fc12e4c11,3,dead,contract,buddah-bears
0xbc488a070d9eb24706f5b45a7c235e5d13994de5,2,dead,contract,buddah-bears
