addr,amount,class,reason,community
0xaeb7ad5a15f01cf3974a0a7be48e4a560fda664c,5,dead,contract,cannabuddies
0x363deba39c26918594aa8c0319293fa50be031af,4,dead,contract,cannabuddies
0xe0794b5654112b9ed19ba35a47cb8f88412d5e07,4,dead,contract,cannabuddies
0xaab53aa8bdad105ff1075e1fcbad5d8e3a9c528c,3,dead,contract,cannabuddies
0x0c22aece72ef29927b917c3bed55bda1514cdb64,2,dead,contract,cannabuddies
0x1d4f267fb4c930f29116a1c3673fcdf2f486f66e,2,dead,contract,cannabuddies
0x24bb3fbba92b9697487b9ce7e216c03a7e6a38ce,2,dead,contract,cannabuddies
0x6c94ab54c7ecdcad9c1abbba518615884962a204,2,dead,contract,cannabuddies
0x1309c56d9e64c20801a16e9a763ff2c07c3a9174,1,dead,never-sent,cannabuddies
0x20903153d13ec240fb89faebc9ef65cbc6d80eb6,1,dead,contract,cannabuddies
0x21445e310f29d680369d8dd5070ed7cda5102767,1,dead,contract,cannabuddies
0x62d51d025ab01f5e8a8ef210249a9d60e55fa5d4,1,dead,contract,cannabuddies
0x6e8206dde51691af4d81965593ed5aa5d77f65b5,1,dead,contract,cannabuddies
0x79c9c0910c33af0ce2eee01cd3b012ef04aa5a93,1,dead,contract,cannabuddies
0x92487e6159e5fcab5ca642e8d7a861d9f2d25ef9,1,dead,contract,cannabuddies
0x96f65b0379e2dbe2b84e550eb87ec9fac4e36341,1,dead,contract,cannabuddies
0xa019b8c19144fd14b61436ab3eb39642434a1a47,1,dead,contract,cannabuddies
0xa08d056f640ebeb59278fe6a34c36048304367cb,1,dead,never-sent,cannabuddies
0xa1c8d5b48d8afb8aa12ee6558b3549b1ebc036cf,1,dead,contract,cannabuddies
0xa40d625fa65ea444fc1fdf3c2231b4b38df5190c,1,dead,contract,cannabuddies
0xb772565dfd2115a43b05779cba608cbb2d559508,1,dead,contract,cannabuddies
0xd86fc6201ecb82e80661752b7dacfb9f84439dbb,1,dead,never-sent,cannabuddies
0xedfedf347525f4bb79b97e080466fab4c0ac5842,1,dead,never-sent,cannabuddies
