Rank,Address,Address_Nametag,Quantity,Percentage
"1","0x4235bf31d109eac8aa5c6083fd0b983f33c572cc","","27","3.4749%"
"2","0x18611933289645be87f8d06620c66f45b763681f","","14","1.8018%"
"3","0xaeb7ad5a15f01cf3974a0a7be48e4a560fda664c","","11","1.4157%"
"4","0x667be334ad43cbc2825b4b80c7615650c847ed5e","","10","1.2870%"
"5","0x08d6191bf9548c41d1deb3b00ff70a7539b45841","","8","1.0296%"
"6","0x6984abf56f07a9b77f9c86505662df02abd18ca9","","8","1.0296%"
"7","0x78529b385ab9c7f1f4b19716039536c60733827a","","8","1.0296%"
"8","0xaab53aa8bdad105ff1075e1fcbad5d8e3a9c528c","","8","1.0296%"
"9","0xbb6a0fbe1f1d4d7d3df73efa4dc2888f6dce1736","","8","1.0296%"
"10","0xe0794b5654112b9ed19ba35a47cb8f88412d5e07","","8","1.0296%"
"11","0xe5475694dbda631a7d88fff7d1b751a457b76824","","8","1.0296%"
"12","0x0e66a715078a09678b040aa654631eefdcc7d234","","7","0.9009%"
"13","0x95cffedde5fea5e487a15cea091b9d0c0cfc4024","","7","0.9009%"
"14","0x2a76baa2f2cfb1b17ae672c995b3c41398e86ccd","","6","0.7722%"
"15","0x363deba39c26918594aa8c0319293fa50be031af","","6","0.7722%"
"16","0x419a5f3e005f7eddde8acaf336400069a371b311","","6","0.7722%"
"17","0x4660b501ff52fe814adf0164c327d8e1bb67507c","","6","0.7722%"
"18","0x5b64ce4592ed757d92a908480e7e517416996992","","6","0.7722%"
"19","0x61f8164b9f5fa852a9bd45b9a027c815cf5a05ea","","6","0.7722%"
"20","0x694657e1652c7aff20240d5dcc9566a3a641148e","","6","0.7722%"
"21","0x740a405b2fc4b8be9d9fb085bc82c58afdc07f72","","6","0.7722%"
"22","0x797f62310412ca58149c439ca1a915bd3216cbcc","","6","0.7722%"
"23","0x972588106474dac0ae166a5ce335d6c8d1145766","","6","0.7722%"
"24","0xaf3a585c63a607cb7d48753eecac3ed00e2e05e4","humanityfest.blockchain","6","0.7722%"
"25","0xcc23d9b859a24e1368e028aa5c64cb7caf919e06","","6","0.7722%"
"26","0xd47ddee846f658e70f3d594e1013c25fa23c2a4d","","6","0.7722%"
"27","0xea284e9856e4c898b4ee323711109fb0af46218d","","6","0.7722%"
"28","0x0930fdcd5b133be1c2bf129f230cce844e5d6308","","5","0.6435%"
"29","0x11bdea140cb111ed24110723a1577b03118936c6","","5","0.6435%"
"30","0x1d4f267fb4c930f29116a1c3673fcdf2f486f66e","","5","0.6435%"
"31","0x385d4e6b1ad4922300b99e24c0b7016562279b2c","","5","0.6435%"
"32","0x455c2f707acadd300ab4e6f8611838f9cdf6ad19","","5","0.6435%"
"33","0x896fed8b86eccf6e8fd9a98e325325716ea76e71","","5","0.6435%"
"34","0xa169031ca94b82751d9b089d7b2255850424d4dc","","5","0.6435%"
"35","0xc7468b7d4086d15bf13d025a663e46e38d945446","","5","0.6435%"
"36","0x0c22aece72ef29927b917c3bed55bda1514cdb64","","4","0.5148%"
"37","0x12f7b992fcf6a036c79da4189e3e547fadd8b71a","","4","0.5148%"
"38","0x19f80171872b4545f419c2838278334b245773c3","","4","0.5148%"
"39","0x1acb0bd525b02e48fdbe96baf4ea366d7fd32aae","","4","0.5148%"
"40","0x27f7062d8747046d4c367e19a999518d3e7e2ab1","","4","0.5148%"
"41","0x31bdacc209309fdfc60d8623c302f075c34ed599","","4","0.5148%"
"42","0x3b4db317b8150ddf1358fab34acbbc60f1099192","","4","0.5148%"
"43","0x3bad58514a98fcdba7ac0b010a0554e3d724f031","","4","0.5148%"
"44","0x43bae11dd96e8ac6e1e93f0f9311b258507ea0ad","","4","0.5148%"
"45","0x477dbec58bad6f6318ca70aff2d9953ba3b4dcbb","","4","0.5148%"
"46","0x4a3e09669b55f0e935d962319301fae7cbd01524","","4","0.5148%"
"47","0x541893b35d6cff9a3c2bff28362173325adf84e9","","4","0.5148%"
"48","0x5551b56f70f3365fde434920e45ab27f30dd4dfc","","4","0.5148%"
"49","0x57638bd80cfcfdf172fa1d2d67260bc253096b7e","","4","0.5148%"
"50","0x5e7dec5eccb1d1d94a222155f862cf2280755963","","4","0.5148%"
