addr,amount
0xf368558b600f44282faf8ef6cfb8c61884b0daea,15
0xcab8daff918325333c7ddb06fd6fb5d3f1c73a3e,3
0x762140ccde6372e9ebf99da144e78331c3936931,3
0x02d3b4791c23a01a8d576593ef7af4a8e16cbcbe,2
0x6f8a0f15e36c68aae7a8a7c057d98db3d1e1f521,2
0xe5a05e33a5aab53fdbe00c8bbd3e1f5fbabd2c5e,2
0xae5d196bff4740c6be6c9a90f8e8228e2b525f6e,2
0xb5fb2604e36a6c1ccea895da7620618d28c2c086,2
0xf1a63fa7f404a992675baf5e436f5bbc2893fb1f,2
0xad952a8b0645f390fde4559507fd0cdc656f3ff4,2
0x68f8dd242f2445fa4028d4e7efe1dc5587edc190,2
0xde6536784e04c58d19bcb4dbcfd49da5d6e1d06a,2
0xc8c7ec37429c91229cad7b68ca9d06b4411ca6b0,2
0x15a259fe4737a736b1f598ac3541ea6f2565fe5c,2
0x660241761a3fb2055e441f0204051ee0483ad115,2
0x25de9f1beb1077848aee744ae773f04961dab309,2
0x634271d5d00ec0c26875c7c417e65b4dac2e6acc,2
0x51833306acba37f91a78a7141c9a08a1998e8b00,2
0x845353b8c017f89df2d403a0ffe036d4c83bbc0e,1
0x40640e17623c8f91aab1a06d8f8e57cca5dc1f78,1
0x743d5ce358c50a898073632fa78537fbb88eb266,1
0x9b15ac4a695c736cb5d9b0652852fe59bd7f8480,1
0xf86e777c97af588c4024246fbab358060526fbed,1
0xa47d20051525f2d749d0d47c2edc14721a972be9,1
0xd28d5e959a3ec7a81d5f433700146847ba61b58c,1
0x16dd39c5308cb0d463327d118161d7d4f79061c0,1
0xf62c43d1e85b27bba972ab0ac6c761c3c4d01fca,1
0xb6b33760814c6db33eb880630e3a0d1c41df4e56,1
0x89e1fafacd26cc7a2b07fa752538e22951ec280c,1
0x0b6843f2dc66f6f0a87927f466c5bbc4792b8de6,1
0xcae8d62cf177fc30f3e77b2618dcc68034c10678,1
0x26713b5a0a2bce863c78a01cca5a8f0ed8eb8d84,1
0x4ce3c97b7e4c949d6af8b860d714c718a8276f55,1
0xc3029140998beed5d12a04530e28519196ff1349,1
0xe82b2bc47a803e2a04bef418b3b6737d943fb8fc,1
0x29e96ea4a59749d0275218333708b0c3e6a6267e,1
0x7b064371a9a18f51f8d92fe57e65031604b00b98,1
0xea920e6a83894234540aa12877d3397beb29deeb,1
0x531a07f4525546b8a2a2592108499c3c1dbf0e1f,1
0xb00c35fb92bb6551c583728528d235381887b69e,1
0xbbc403e53ad8be7f24e561ac518cbf59c61f527d,1
0xe10a7e7aa65a8afd9bd90490214043f5577d8b6f,1
0x78dcec9213579d2a775f034ce84d8e33779bbacb,1
0x7656dd9033c56c3517ced5c5b573044f42b32e72,1
0x4f67d4909fbd3181f31931b434357fc22e379104,1
0xa808c0eaafbc9c28d9a836cd9eae1debeacb1dbf,1
0x9201f55de5a57d30c7315e445fdbc5b8d4b41185,1
0xdfd02d8b79e8f0a20955613ad43d7c7866662bf6,1
0x792a66a6547112bba20dbed4d81befa05c962e77,1
0x055a29d371507a383b6d2e3fae04c84cbfd83fae,1
0xf0ee3f51a93e065bbe440db20e680eee05ae9f88,1
0xcddf2ce861b90f3c06604914d090af02df2901a3,1
0x695e020f383f2ebaed32bb05cfa4dd1e576faa60,1
0x2a8c05542e984dd3a7a0789352e641926271cb88,1
0x1d8e5c2327fa47280e458e278d56f99915f8d013,1
0xf5c5fe608573ab6904d17929188004088a6fe35f,1
0x9e6b87d3221f367cf09c8c00e4249d07bdfbe0bb,1
0x66bec918f6f8c753a2eb2464d54756ba351638ac,1
0x11ac41729f658f08544fa1620da952dcb125a396,1
0x489740e88159bd5043565286b7e13c5dfad8e71a,1
0xb7973a0b2e59c2f3d230d7afb678116f645f86ba,1
0x18c39df51bfac337eeda798e806feeca01713cf6,1
0xf0298132dbb7633c12b5e50a62cc92dde71af423,1
0x27c298483b00cdde4147ab4961a1e5e359014487,1
0x03f69b48562c9df587f0cc399460efc21c44500a,1
0xf769977caba33d3f2190548066e2e53e8ad21b57,1
0x7baf848f3c26f1495bc0e10e6b043c4009f63207,1
0x7acad21f2f80881fc46ab6f5dc15aaf825857ec2,1
0xe8665761ece2eff00f6be9a21328bb12cd3ac51a,1
0xd302237c62dbed1741d869de872e2be9ead2db15,1
0xe3dd7b592a581d6e382084c96334b0756d80dc2c,1
0xe2f876b37aa051503c667aa8f18fd512b80836a9,1
0x0b40f649c1507ca25be1716d93b390eb358aefd6,1
0xb591194415b1889b37d4a22ade11b9b4406f877d,1
0x5ccfcd72718088d35745da8348a3fbfc9f1d19e4,1
0x0a228fc5ef7b88aa336173604e49ed4a44c6f1e4,1
0xfe4eeec5fbec221f1018485a90cb8fc11b76c016,1
0xc5934db2cd8d7ba3e8650d6b9bd3c6f9ea090a52,1
0x753aa2e0d605cc89219d8e41677fa5c8bba5d8db,1
0xfdb8907a9989111aa0383d103adf1b4aae4a4ddb,1
0xf9353fc8726d0763de8a21ca0a9e5a02857a9291,1
0x8792cc92d24b7215aca069f4a13b994155b74444,1
0x292f837fd103bbf7ca8d9530b1b667f6557d3652,1
0xa988184be794aa8dd0719a190e96a2b20d0a624e,1
0x6728c5d4bbe8818814626001045f74245ae1c3c8,1
0x346607af23a333880fa27bd520c620f6232b0af0,1
0x7c3da85e540f4ed356bfc97258711468412222f3,1
0x888ca71905bd1c40521a1cba3d37761f2c4e04f0,1
0xbc43daa5bdef39ad403d1fff855cb128877e03c8,1
0x34b97e5d8f07236b1050eaae70f0d4d1d7c7f817,1
0x3eefbc9943b2afb7c67842307380da523395bf46,1
0x8a6ab341576594e01e42fa1d0fafde1e90c84f73,1
0x1d51cbe69df0abd38c86642d92ce4bd479ba8d83,1
0x484a387158eb9d241a089819aa12aa720558b2a6,1
0xcc98a17d4648b80f9ffeca8637e6ebcca04b0c62,1
0x657a27e3b697351831a21d6d1fec56cb14446293,1
0x0fa87a476eb5df799eb42684ce50d145dbe7fd2d,1
0x79ac10e326ac8a6112021ac03baa81f8ff5cdc6d,1
0xe382410739002d822fc707c77667bf9f928b2857,1
0x14a13ea5b5b10de7e83a88583d25b68a5c9783d2,1
0x2092cc6f5c50ff95963f63fcb3205ba5dfe3ae66,1
0x8f690a89d1c252f593718e357dfecaa30e4307f9,1
0x9cc8c56afcd9682a8485dd13a6bb3ef549408373,1
0xbc87fcfb1e122274e4fd2ca8254fda3f60996eaf,1
0x7139c2b6f4faed0c19d45a23d637006e030c3165,1
0xd186972702278529a7d81630b618208b48d33981,1
0x9236ca04ae3e84ef4179872ba536df606a43bfc7,1
0xfac87eeb32a98e31b51f75fc7479d09b5dc4201d,1
0x576c4df0bff4b0c8a136ae9bf013a4fdab890974,1
0xe2eb5f553d8d36bcd6a537be426ef585e2822f60,1
0x7e491dc86d5863bcd81258c32abece9407aa0886,1
0xe112a00b4d4e8af250a515b943699e7be45d4c81,1
0xf09e6c1bd09ab7b750c632de1ec85c6613613009,1
0x1ae3499b54aebc53e714b74b268e34523561646b,1
0x86f36ceda23f3cf30e42a6e364adcf1a95b1cf0f,1
0x9818c92bf68612e84b2b33f15d40ed7c74ed441d,1
0x3ee925795abdeac4e20995b2a3224818d0cc8353,1
0xe449ab97483185f09d1b8aaedc78b7e379a07c2f,1
0x3e4f9a9f9428b83e8b866a376a19fcd3bd8361fc,1
0xc9ec2c54a4b8a6e32135a997e8cc36805eea288f,1
0x22dfaca0f13d668f3656d949ce27722166503d2d,1
0xef96055f9e3bce00d2adfbc2016c2540b1308baa,1
0x1d2beed08e8c92b99cd18186a7c501ad46c9232e,1
0xddfc2af4f08e6bfc666c63b2b81c9992b27b24d6,1
0xf8eeca7964cfde8c34633aa921f1b911fbb5e5f6,1
0x6925725a19d6b6c5bda5ec8d4797b7af54e1b3cb,1
0xcc27b7dcda0b86e37062bc8ce4c9672f094ba148,1
0x03ccdac0ce3a18cb87d623e1519eeb07bb89622d,1
0x0ba780640448b85f9f30a4098f7dddb06f27d35e,1
0x7ae76bfc1db0f8cea1f70b027fb9f64e2d4dcc64,1
0xf2f555bc3c5679c2eef01c4330e87153b13d5df9,1
0xe823c48f73f6e50ba3a123161c5920d17f66ad89,1
0x10c794b013e7527ea2bd17af38e93b340c4e9a60,1
0x5a41c4973a5952c8095c19c48fd543502806f8d8,1
0xb5ee896001a5722b5d1c01398c9a0810278956fe,1
0xbe38e6a0edb96abac70d30e42c025813b542ba9a,1
0x835e3752eef72ba0d9b377b33fb64fbe04d93bd0,1
0x6855fa6d729945fd84a8c27b42960773bed604b5,1
0xb47604a52b4d335efe92d17db60dc45432daa304,1
0x2296f7f0b322443623da430287c1cac2b2ed5fd9,1
0x0bba2ea1c835db00163fc52820e01e00f33a015a,1
0xca3f07b2b83cc4eaed285fa508af5c21a32b9d3a,1
0x59a63b6f76abc0748a799669220e3458a452e61c,1
0xa888cb92a056210e57df09387806ad57fc1bd09f,1
0x637d3b8856bc8904a481d13a6c8aea6db1502272,1
0x3b05fd68224b98e21bc2c8a1c6fd6aed32714a65,1
0x423334c098c9b1570fde589fa62d94a965c496ba,1
0x432350d928b7f0517c1e18971a65c07fd524821d,1
0x6cfe48091a647a4818f28d90ce45feb6b25001b8,1
0xadedab2117b3080041443c0be21f5fbeb7a46b60,1
0xb91640f254962352444bcd833c9528ffaafe98e9,1
0x613bbac30c7894cc1af1389f5f598ade2dc083ae,1
0x9a72a23f411a6fc2525aac9fd8c1c1453cb1a455,1
0xd2b995f05c1ead858cfc1719a8e5957085512d8f,1
0x0fbded7b16ffa17f38b9c188e53d3817582e89f9,1
0x2dd1736491693517e4db5798615f53bba7cac86d,1
0x0e6f3a576b027733fb28c3155cc04d7182d02306,1
