addr,amount,class,reason,community
0x19fab8f7dffff38268644eaebd3d538f68036000,20109025.22,dead,contract,chronic-token
0x5a31facf243c2c395700a371647d07204ee79c25,999500.66,dead,never-sent,chronic-token
0xc8db756c22f1a536434ffbfd7759bb13c5e711a6,928343.15,dead,never-sent,chronic-token
0x4a94e4b2f0a2d40d39242f61244391ea6ec6f774,636041.19,dead,never-sent,chronic-token
0x7e4ed5e89bfa4adfbc8143fcfe64f20e9a5b09f9,514176.56,dead,never-sent,chronic-token
0x3b89aeef98af5d16edce6e7ad134f47d3a18d21c,468169.69,dead,never-sent,chronic-token
0xdd49092cf1a07482dd5432e1b0480534401e6243,394633.58,dead,never-sent,chronic-token
0xe873c19b33cab017ce0102df4c92f6709b4f5a20,388233.33,dead,never-sent,chronic-token
0xc2dc5eb391af52d491a662b728a42d694f30be4d,311741.26,dead,never-sent,chronic-token
0x8b1f59e5af0d2712d668f6a56875127091757b4c,258636.21,dead,never-sent,chronic-token
0xe80be74f1ffb0dec2b7c649a7a290d5adce48ef6,257051.66,dead,never-sent,chronic-token
0x2ddccea13184186d49b00dde028c2e10b4bb8e6f,249270.19,dead,never-sent,chronic-token
0xb58b3f559b64e4ced7b7dc9aff915310c62cd2ab,242598.26,dead,never-sent,chronic-token
0xae672dca4464c1c2d5a79f03142082824d88d031,191539.37,dead,never-sent,chronic-token
0x6d2d668009e030007fda355890f61ecd29495ed2,170907.58,dead,never-sent,chronic-token
0xfbdb250fab368245a07b02387e5aff2ed6a4bda2,167151.04,dead,never-sent,chronic-token
0x91ad8aff7eba4a9250693ee94a92e7f853dcf5e6,161268.24,dead,never-sent,chronic-token
0xefcf747355306ae46f0f24bd1a8633498a2bf087,124618.70,dead,never-sent,chronic-token
0xa2d18f6c4ccef7b82ee920c5c6ce2cae1c870abc,122707.00,dead,never-sent,chronic-token
0xb261a9577063f57ebdc7663ee2c30bb9d0162deb,104679.65,dead,contract,chronic-token
0x5e50dcc5652ffbd7bdfbc3e50a7f587196a856ca,96771.41,dead,contract,chronic-token
0x23257c698048bef6e3df88361c549c7a82b2bc97,81137.70,dead,contract,chronic-token
0x6f5eb6074686452683b1f8e1f4d680f3b5e5f093,71019.32,dead,never-sent,chronic-token
0xbd568cf826b1b8f8770566c293cadfea8327c6f2,70395.70,dead,contract,chronic-token
0xddf0bf2538e83b05b7e32e6d0659a3ab19c6638c,70257.38,dead,never-sent,chronic-token
0x0c815ff679942b08ee6ad0039514d28ed2c5cb8f,62579.59,dead,never-sent,chronic-token
0xb3ac09cc4eb4bfde002d2a00b7a4771d72ab9b44,50444.90,dead,never-sent,chronic-token
0xcca6825f1eb6df7056074d08a1f4171a52cac324,48606.47,dead,never-sent,chronic-token
0xeff5f304a0904e4492d6012e85cb1f77d476e024,48500.06,dead,never-sent,chronic-token
0x85ad1f3259ae887e53bf07a1a396a0401967fbb6,48066.00,dead,contract,chronic-token
0xa0d1a2ac29ed68985226672d90c6a288f9bd3c8a,44006.73,dead,contract,chronic-token
0x5faa58732f6629f74181307df6edfce67a3d89f8,36233.63,dead,contract,chronic-token
0xeb2b87904f8f669b039869b906ee5aaff551e015,33590.16,dead,never-sent,chronic-token
0x2d508e87e5e886433bb40a9672cc63565108dd9f,32061.41,dead,never-sent,chronic-token
0xb282c65867adff9103ac7905de2de55b188a8d16,31721.00,dead,never-sent,chronic-token
0xcef6ee802d96ead5f84a60c302ed9f9ce8966b98,30345.77,dead,never-sent,chronic-token
0xc9d5ca12c7f0b1745109686af968b25117761630,29100.02,dead,never-sent,chronic-token
0xe3d5b483dad271340d1b0714cd27f3108e8fdeff,25395.60,dead,never-sent,chronic-token
0x06fd8cf946161dc99b728f3a65d38b8121b03744,25340.13,dead,never-sent,chronic-token
0xef4ba51de50c1b585effbecaeb7eb1666eece39e,24255.21,dead,never-sent,chronic-token
0xc2204a98ce268e2a59ad144856a96443c207aa49,24250.01,dead,never-sent,chronic-token
0x05bbfdaa332d3517c108b01f0537488f6997e05f,23281.17,dead,contract,chronic-token
0x67d0666fa38fbcbe2406f8274fbebde6e963eb9e,21180.60,dead,contract,chronic-token
0x8bbed547b0744a152e3342f93675fd387839bdeb,20094.81,dead,never-sent,chronic-token
0xc6acb0901b59f3b7ed37b0e91e323a420d607fab,15921.75,dead,contract,chronic-token
0x3c75c93d0d90cc735ca43612d16fabbcf03071ca,15228.48,dead,contract,chronic-token
0xfb4ea5b65e726d0bcb7a3e90bbdf658fa7bd2b32,11181.92,dead,contract,chronic-token
0xcdaf90d67f3b6b0499f6455c1dc2a795c3efff81,10497.92,dead,never-sent,chronic-token
0x3c0467c71d788961091af20153c1b924759e7056,10221.96,dead,contract,chronic-token
0x8bb3679b441098a3c1878914afd4034eee88b747,9773.67,dead,contract,chronic-token
0x8ea6be36261f662913f1cf1789d182996d58c3a0,9578.76,dead,contract,chronic-token
0x0c75e77d4c6564099eba2c03a3e4d02ced216866,9345.80,dead,contract,chronic-token
0xe8aad7ea6ec49db98655690f2d9f7500f3cf49b7,8257.61,dead,never-sent,chronic-token
0x50b684948ae030ac5bb3a205574b68699886d0ea,8245.00,dead,never-sent,chronic-token
0xa9aba990d6b99d2c02049611e5999830e0f5b721,7469.00,dead,never-sent,chronic-token
0x2d3a4e0b8f6b65d3b1f40ab281f40c4ed4fb488f,7285.97,dead,contract,chronic-token
0x3514f953ae42f2929445f7037b87a9d5e829a14a,5130.37,dead,contract,chronic-token
0xde9c8a5a64cbcbb7d384f274c489b6a39adccc35,5032.51,dead,never-sent,chronic-token
0x725b3c8fbdb338e46289fea24e26a6fe60acda3e,3983.92,dead,never-sent,chronic-token
0xf6138c2c60e9a4357e58fec54f754d3a0350ebcd,3664.47,dead,never-sent,chronic-token
0x9dd34b35433b583ec19d3465f96d1bf9bf1b896e,3435.46,dead,never-sent,chronic-token
