addr,amount,class,reason,community
0xb8f9e33fe0a4a21e6e0f70d88d6904fe8137a7fe,60,dead,contract,crypto-canna-club
0x1ef7bcc3976056d3f0238b6f8653287d4d2ea24e,35,dead,contract,crypto-canna-club
0x3121be326af3d70d61dbbef2899067862ab127b8,16,dead,contract,crypto-canna-club
0xb13532e7d5fc4f39a15966aefc314b5843e2e036,15,dead,contract,crypto-canna-club
0x994b2b32530c95cd4bdac0ec0e0b41b187385b94,12,dead,contract,crypto-canna-club
0x44dda7c0915c2523d0ed7957785132e76b3483e4,12,dead,contract,crypto-canna-club
0x81dd06614ed7c1b9221e929b43c0cf9e8611aeb0,11,dead,contract,crypto-canna-club
0xff9a11ceca9f3f96e661cc549962984d770b615c,9,dead,contract,crypto-canna-club
0x2dd063d7e83945537d0f689213ed91ece30d96b2,8,dead,contract,crypto-canna-club
0x6e1d9ac48f065dd02997e5da3f0e2dfd9687cb9f,8,dead,contract,crypto-canna-club
0x0d460ec3517dee5927dce832a7d2df22b559a59f,8,dead,never-sent,crypto-canna-club
0x3ee3d0ccef50bc9a6ac43e763180c0c870fd2787,8,dead,contract,crypto-canna-club
0x39bc3bf912e9662ebcca8cbe20bf1c2a32048956,7,dead,contract,crypto-canna-club
0xf2a9a3f59b5327be4feac80e6668e53bac3bb7f9,7,dead,contract,crypto-canna-club
0xade44991d931ca62e4b56f59a7a8e9160067f48a,7,dead,contract,crypto-canna-club
0x68667f9b371742fc25735727a220d044f685326a,6,dead,contract,crypto-canna-club
0x0c15cf0ed7e191f136716b974aaa1d33620e8fd2,6,dead,contract,crypto-canna-club
0xfdc2b224cc1fd65d6cdccdd896510a7d89af81c3,5,dead,contract,crypto-canna-club
0xc32ff65467b2c446f23ec6966e949249bedb3731,5,dead,contract,crypto-canna-club
0x6e9bb68ee1a66c18ff7e2fc9b1db567127b2244e,5,dead,contract,crypto-canna-club
0xd2e31eb9cc0e357b510f67c021ba716412c54806,5,dead,contract,crypto-canna-club
0x4a6cb72561623271a84490191f2429ebb611dd51,5,dead,contract,crypto-canna-club
0x6dacc92a335dfcc58d65e4e8aa35a344f73c52b9,5,dead,contract,crypto-canna-club
0x5b2d405a5c7f4eac2eeb9e9e8f4760a9f7a33e4b,5,dead,never-sent,crypto-canna-club
0x3659a744dc954dcf6636ea1b75c813ab50a4bc45,4,dead,never-sent,crypto-canna-club
0x49ca963ef75bceba8e4a5f4ceab5fd326bef6123,4,dead,contract,crypto-canna-club
0xe92356c05d03fce81063caaafca1493ef6619445,4,dead,contract,crypto-canna-club
0x37e189b454e70611042ac5c51179fe7d795d5238,4,dead,contract,crypto-canna-club
0xb0b092448ba039685a2f557d9624971a5bfa2215,4,dead,contract,crypto-canna-club
0xe6ddf6e3962592590883d22fe4a8b2156b23e3aa,4,dead,contract,crypto-canna-club
0x8aec564ef5a37bcb5fbd54ee22d6c151579c8628,4,dead,contract,crypto-canna-club
0x0f8c611ed91a8586ed5063ad467325abdfa3a015,3,dead,contract,crypto-canna-club
0xcf3b555729822b93ab8f05c9124b10243cd3748f,3,dead,contract,crypto-canna-club
0xfd33921e206af4a5d086662b7e7754a7a5cfd733,3,dead,contract,crypto-canna-club
0x895537e51225476ac7d247e0a0438b17a3931c47,3,dead,contract,crypto-canna-club
0xf138b002f7f514936873081b9dfa56672cdae42b,3,dead,contract,crypto-canna-club
0x5b4672cffee5e64a2a7d17c157abdb4edffbe3df,3,dead,contract,crypto-canna-club
0xff4f2c41af6bac672164357677466ded6b92dac0,3,dead,contract,crypto-canna-club
0x667c66a1dde2ef5a2f92414ae51e07a8d91e135d,3,dead,contract,crypto-canna-club
0x838a1c2f0cae94072332c346533acdc6c590971f,3,dead,contract,crypto-canna-club
0x568be95e96ba2ef72aee6797d64095f3a4147d72,3,dead,contract,crypto-canna-club
0x01fb51f8a664f0f2b7cf8f6eee89f7c1b7e05ba1,3,dead,contract,crypto-canna-club
0x8873084d75ef7389ca8d9d86ec5459837d4d09f0,3,dead,contract,crypto-canna-club
