addr,amount
0x74c9bab3669fbc5fe5c5f4475ab600bb7f11c47e,14
0x8ad4312b8195323790332a2fd2a832740f147b9d,10
0x6d79ddb41cb26675dae6e934df7528ebe118f322,5
0xa4122a273dc9371db24619f284c3b3e5ee47f53f,4
0xb7e36c145f3a0264a128a6d10c8f4f57508b9879,4
0x0d2225def3194caf7b1dcb1e50675a9d70e98f88,3
0x892752a9348b36783e5d4fdac5700288f8161eb2,3
0xb7ba4d4151b90f37275ea48031f40df6083b7c42,3
0xf8d946c1db7e3552b0fab941844e179130b6f6b5,3
0x5743e93ab23a457150724ca18d9a0e35b17cc8fc,2
0x123b012c3ca6e78ef8dcca7320d7719ca1ddaa02,2
0x23800894c723fdfa27797e4c62312f6dc2585a9b,2
0x804957004cd74fbd9515fc7750b1bd7f178ea616,2
0x9a5e6ed758a57267b52351caf966ba98180be4d9,2
0xc0779cdd492d5bb513c927dd9026f21da91021c6,2
0xfe6924e5efb2bb90e5ab21b5193238ab0278c162,2
0x39bef056315d85e3c300918b347e1797d88cf2e2,1
0x52200c5f0ff3302646379cf81fc41b361f34d2ec,1
0x54fd1481a2736f47c87dc84875bb945ea043b70a,1
0x55566cc462f8a2634b4ce8927fd9904b0e470497,1
0x5aba56bf7eeb050796e14504c8547e0f6ca1d794,1
0x6852c65fda8e438e5a2ff48d357de817b527ff6f,1
0x6946ae4360d19f4821e1009c51bf5da1e50736db,1
0x716591f7e8879cfb3c187d20c14b9b96fd279c3c,1
0x77ff94ab5cbbb5e8746494efb69a219b5495368d,1
0x7c2498ecb678db536ff39279ce9b519425253c10,1
0x84eee9971fb9fb5ea0eaeccdafad6efe4fa4a371,1
0x210b488940cefd2a613349595580dab6e273a5d0,1
0x901120e2c43464d0506c056049e540397c826831,1
0x903b3376fbabb2bbe24187abb6ef738f3321f795,1
0x0539fd4e323f2c95e71023593770dbe13d8bf83d,1
0x9d8a756155d130f24aad4d9eda58649eed61469e,1
0x06e48286fb7126f6ae0efc65f6cd31655c94848e,1
0xaac53a8b855e2e84fd5a5eb1a1e879bdca4ad660,1
0xadc627232e31af424a45410670d263259c4a3d45,1
0xae62740b86bf079215b8d3e900fe376da56f1c4e,1
0xb234d41c64fdf61458724629115ff6877ba5ba1f,1
0xb6fa3aa1a785971c68ad7021c4c5679a979ce6df,1
0x0f2d68535377e44e4eeddf2726a6a7c01a83b8e5,1
0x1f6ac1b68626e7cc430d5223790a97bbb92d8a05,1
0x23a13b58309eeefc0eb7c7fb4a93c428edb1042b,1
0xc9e439bcfca390edf07f5fa65c082e83c774af39,1
0x254768d47cf8958a68242ce5aa1adb401e1fef2b,1
0xccb0a9bb3918d3bab467395c6fe87e65b2c92a24,1
0xd175467a56776fe8f7195d866d269dfda0b4607a,1
0xe095cbf46ead7a4bf107d33493b9e4d7c0a2a88a,1
0xe510973c47c7eb5153f3499f3ecdf319b403919e,1
0xe76eace50a5049c0c4fb75d6911add4a1f4d85a3,1
0xcbf13f148d74c64f062e4d0ea013dbdbef5d5ad6,1
0xe857203ea3c3f0ddb2c13aad0b9afff9d8a34db4,1
0xecafd0655f6f75e65e26ce226fc1a4309bdb97ad,1
0xeff0d258dcda692a056d1be0f96dd40a7c83f0e1,1
0xf143a693b3aee424794116a2386e05e0d09c15b2,1
0x3996e27915fcb280e5aa5f121dea6a2f655284ba,1
0xe7f6f4ba4b4518cc4edbf3874dfa65999850dcfe,1
