addr,amount,class,reason,community
0x8f11a50844ea912d8526d8a150edeb8edf7215ff,15,dead,contract,galacktic-gang
0x21897e7ee89a8189986920a87a2b8c5bad505a3f,14,dead,contract,galacktic-gang
0x223e6eef8aab98a8c7701df307771f4e1a979d28,11,dead,contract,galacktic-gang
0x838c39443b4955bb1608af0d2d5f316133f8b55c,11,dead,contract,galacktic-gang
0xf9f9f32fcf6c47b1d4cefa9b3d2bb90da92e5d46,10,dead,contract,galacktic-gang
0xd6c68726a0f1bdebe4d658b2c092126fdcc7379b,10,dead,contract,galacktic-gang
0x820997eae97a4200e398aa307ff7b097a711264e,10,dead,contract,galacktic-gang
0xb431a216ba015a1e2db5bb3ffec335a272d90b2c,7,dead,contract,galacktic-gang
0x5d7bcc9a89775293fe70eea769562602a48a12b6,7,dead,contract,galacktic-gang
0x3e27638518db964a71a0971c1f5bc7be6b6db77e,7,dead,contract,galacktic-gang
0xfcc9ee2ab1291a5635d5eb7fef4ab9eacc20daf3,6,dead,contract,galacktic-gang
0xbd8c79740bf625f5054e86a2ce4e73879382f923,5,dead,contract,galacktic-gang
0x4f764a08c66251e13bdd85b4bb0652b739736328,5,dead,contract,galacktic-gang
0xd7492ae646cb1cd1b57f57fb6dc88446586b1186,5,dead,contract,galacktic-gang
0xb630cb13adb127ae4ad667976f20f449225d1e8b,5,dead,contract,galacktic-gang
0xf76b78ff77c51f2ce37631c60082966cf86818e2,5,dead,contract,galacktic-gang
0x662d5d79849113a5403af776210307a7c82a5267,4,dead,contract,galacktic-gang
0x12c9e47c6cd4f9a26c5511941d1092fb4ab7b794,4,dead,contract,galacktic-gang
0x1108f57e2cded45ae83f2bae0c7299fd4a213f20,4,dead,contract,galacktic-gang
0xef78ed9b7d811978bfa1ab220380d6ee1f08ff8f,3,dead,contract,galacktic-gang
0xe9a0dfa349bd7af1bfd68dcb6f39c93cbfe541c0,3,dead,contract,galacktic-gang
0xc2065e8c845448b6fd7a3ad168918f2ba6e9d45f,3,dead,contract,galacktic-gang
0x5afe16a6e8676cf4460da4f59bb8a196d15ae33d,3,dead,contract,galacktic-gang
0xe090d18834584181ed73984acd58856bb6b04c45,3,dead,contract,galacktic-gang
0x02caa5c046d7b9c92e21caed72d887575adc01a9,3,dead,contract,galacktic-gang
0x4700701aafd01a5f5fbca965ea681ad50e161eab,3,dead,never-sent,galacktic-gang
0x05ae0683d8b39d13950c053e70538f5810737bc5,3,dead,contract,galacktic-gang
0xb2e615512c5c74573916854e0e62920c918e3455,2,dead,contract,galacktic-gang
0x7409d02429865a024274f124c944df96825d6527,2,dead,contract,galacktic-gang
0x4edc9bf27ba4faab3465ed79ad522ed31c493e04,2,dead,contract,galacktic-gang
0xa3c1f5b17adf24d8612ea4637c1a74fca0ff6f60,2,dead,contract,galacktic-gang
0x3b7f246d8340de4fe0495bfd243fbea798503c7f,2,dead,contract,galacktic-gang
0xd11efe96527fda776b1530ad157c8160533cb5e4,2,dead,contract,galacktic-gang
0xb2eb076154cac8a66617d16b612a7146d4e9104a,2,dead,contract,galacktic-gang
0x3ebfc865da4d908c3bad033d37fde347a990859b,2,dead,contract,galacktic-gang
0x3f9ce1b5158be3d134fb5623a8244ae7ba353803,2,dead,never-sent,galacktic-gang
0x77039399801f462b4ed13444a266b16355c471bf,2,dead,contract,galacktic-gang
0x218d75b17f491793a96ab4326c7875950359a80c,2,dead,contract,galacktic-gang
0x5108375fde60b49b237bf3cc5c289088f6b92493,2,dead,contract,galacktic-gang
0xd36954df517cfd9d533d4494b0e62b61c02fc29a,2,dead,contract,galacktic-gang
0x3fb53766072d62db92ed857bbc560a1f63f1101a,2,dead,contract,galacktic-gang
