addr,amount
0xd2b775f4368170bca47dc285e56e199d74acbf23,10
0x9d7d2a1a77350d05d6d8b8e6f38f5cba2db2baa0,5
0x5d3eac418bf8221c456c47a179a003e6d7c35064,3
0x0d1edfb5b0abdf9689077af2cd9780056a14cc54,2
0x4795f922cd3cb66019fe5a2007bd752e823536ca,2
0x5c3ea7fdf251ad0774e9d39d462c49a01aad9cec,2
0x98f1b94c3974f6bea3c41758a8df9f2d54de3ac5,2
0xcc7354bb042b82fab47411117bfc2bc54ce05761,2
0xf15deff9f34ae294293bbb90bdbc3f417bf2bd76,2
0xf9c10dc0acac201388c96374e3386f568962d0e8,2
0x019e7e5c82d097aa51becdc85ff3d22455722154,1
0x050d11f95256800d272cdc8d25e80390b4a39252,1
0x1c438a8048d44d1aa7207772d1a5eac6ff924e3d,1
0x2186784ba5761c2ff8e3c16bc8ffb3f262b50cb9,1
0x278b3f2e66610d4c16cc8ac6d7b5409e12619364,1
0x3b2c2a2caa2092d57c48faf31862138e56eae1fa,1
0x717429363ffb10d8ebf14800ca1e5b6f6d07f137,1
0x78638bb11630b7d5e887d58e59e0798b93d8bcfd,1
0xaa9120109c02f48d24b9f48f6ca6db46cf82c2e8,1
0xb90f2d02115877982cdf338c74424c77969749d0,1
0xb9bd55eb41a48dd8b3141a09c4c6d829b581cfeb,1
0xdd8bb9be226dd79c3bb14be9df5642f39cd081db,1
0xf5a8ac14c00ec8e14237005749a69154df743203,1
