addr,amount,class,reason,community
0x363deba39c26918594aa8c0319293fa50be031af,20,dead,contract,hippie-life-krew
0x5ebcb20bdea4364b3c127e919192f3734e44c132,16,dead,contract,hippie-life-krew
0x2296604466f30e2f308c6945d6320a5b2636b2e0,10,dead,contract,hippie-life-krew
0xa019b8c19144fd14b61436ab3eb39642434a1a47,10,dead,contract,hippie-life-krew
0xff0847bd6c84bb02bb0dc617e59def64e309c756,10,dead,contract,hippie-life-krew
0xb079d24ba76df7208fb55a047275d1f8737654b6,6,dead,contract,hippie-life-krew
0x20903153d13ec240fb89faebc9ef65cbc6d80eb6,4,dead,contract,hippie-life-krew
0xba55a4ad8b09c532fd5f330768a5c415e5cd689b,4,dead,contract,hippie-life-krew
0x24bb3fbba92b9697487b9ce7e216c03a7e6a38ce,3,dead,contract,hippie-life-krew
0x2b8151fe3f4fe70464276850b3bb6437af4a4a77,3,dead,contract,hippie-life-krew
0x760105f66d34877c2bc43c6681a0e40ba2bd5a02,3,dead,contract,hippie-life-krew
0x9ea0d30e2c80171e1aece22d41f67c0b4aa02bf8,3,dead,contract,hippie-life-krew
0xadfa18e47a362ad034486ad5a7f815557a0070aa,3,dead,contract,hippie-life-krew
0x1c5a1d2915a59436752d3519e5a39c8f454f5226,2,dead,contract,hippie-life-krew
0x38af7644b120b56e2fece98b8a9a3de14f8fbf1d,2,dead,contract,hippie-life-krew
0x452fd9833ca76ec5100bff9f8c2a05831ec9fa6c,2,dead,contract,hippie-life-krew
0x4d191c7a781d1c7103c4050cea12c0b9c7234f75,2,dead,contract,hippie-life-krew
0x5b33ea8b7836ff4d14c75f0d461fc67a23d777f0,2,dead,contract,hippie-life-krew
0xb3d6c17dd4f7a7b6c061c8ebe74f56a818613a0c,2,dead,contract,hippie-life-krew
0xea8e50d517c6a4b7d1c1c68bfe6f7d241a8cd12f,2,dead,contract,hippie-life-krew
0x0b3d84b4cbaf363a6eba9a85c2467428277abc26,1,dead,contract,hippie-life-krew
0x53965cd7992bc61b4807aa7ace3bec0062c90de2,1,dead,contract,hippie-life-krew
0x6210477b3025bf5ea50a35d39e7d2875dc11661c,1,dead,contract,hippie-life-krew
0x7e54b69600341571d671f6c3e10c27f83233e481,1,dead,contract,hippie-life-krew
0x8d2f6743938a439ba9d4ef1619e5566bf935033a,1,dead,contract,hippie-life-krew
0xb2c4e87b89a837c72482d1571f7a7e5435a3be8c,1,dead,contract,hippie-life-krew
0xb93c7e668f74352066e297e4e3184d088da22b01,1,dead,contract,hippie-life-krew
0xd8072c8c4f96a17e9dc4e38252814fc0e90b7269,1,dead,contract,hippie-life-krew
0xef5c844e19cb25fd1ef82e58867732b00cadd29f,1,dead,contract,hippie-life-krew
0xfcdccfea679758e438411362fed4e8cfd200ce23,1,dead,contract,hippie-life-krew
