addr,amount,class,reason,community
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,178,dead,contract,monster-buds
0x110fcf02604f276f9fab52a96030598e1de79c68,55,dead,never-sent,monster-buds
0x6f5b679e376deea6b7a0b7d544f34400f8ec99d3,39,dead,contract,monster-buds
0x4c9b9ae7c62eac1946070b772d424af8647acd11,33,dead,contract,monster-buds
0x133fab28caec665ade2a67d1b360ea1eb18b812c,33,dead,contract,monster-buds
0x84f0cee6916d7bdceb696ff8d8dd6f1ef0d18e9f,28,dead,contract,monster-buds
0x6478c54d7e93801950ef4970424d2e84bd1a7ea1,19,dead,contract,monster-buds
0x95fe3c0101b4348af50d3989810be0ccb0ddd81e,18,dead,contract,monster-buds
0xb91a23971cabce0db9dbde18f554e47f8ff6f9f3,15,dead,contract,monster-buds
0x7b7a7bb315464585c04726182eeadf7fecacf96f,15,dead,contract,monster-buds
0x27eb78c1eade6fc040d25b94e7acf6bbe0689f0a,14,dead,contract,monster-buds
0x1da6a4cf0a189fff6c3bfc383941a898baa2c503,13,dead,contract,monster-buds
0xd5c1e614a0093210f387b0e1860549c78824f226,13,dead,contract,monster-buds
0x9e30a1e5e13a2e0f2ed775bbd420fb7cb31ebebe,12,dead,contract,monster-buds
0xaf7031b4f2a1a52338fe6bd75409e38564838154,10,dead,contract,monster-buds
0x08bc8766eb306e86457746519db9cfb3ca6aac32,10,dead,contract,monster-buds
0x9b00e24bb358fec9be49c52068971dc3e2315561,10,dead,never-sent,monster-buds
0x617d924a7600c0ef6e741e4adb97a26d03bdd534,8,dead,contract,monster-buds
0xfd4c89c2c840b4eb9b87ac37975955195b1224ff,8,dead,contract,monster-buds
0xd4a14393416a321b74168e259a9592982c88ae72,8,dead,contract,monster-buds
0x2953399124f0cbb46d2cbacd8a89cf0599974963,7,dead,never-sent,monster-buds
0xb9ab9578a34a05c86124c399735fde44dec80e7f,6,dead,contract,monster-buds
0xbfc9e7ce220b4adc1c2b5f3beb0abc8bf30832a8,6,dead,contract,monster-buds
0x2a91af61145656fc7f909912ed4db131d82d70be,6,dead,contract,monster-buds
0x7d1678940b2211052f4201d4a02d45762c707243,6,dead,contract,monster-buds
0xa42bd211e2ad70b13eb1fb97184d4df2ec63666d,6,dead,contract,monster-buds
0x60843934fbdbb6f3473b6f7182ba852d4113a048,6,dead,contract,monster-buds
0x83bd6e3e0a4bab7bbb720ae19065e4d65c470a09,6,dead,contract,monster-buds
0x051b92659cbffa7cea8dab95e2c68c5733369e92,6,dead,never-sent,monster-buds
0xb67d58cffae63a95fb380b952e65b1a8eac44d0b,5,dead,contract,monster-buds
0xd8891897f4b87af7a79b116ed170d976c7646fcc,5,dead,contract,monster-buds
0x535875cbf04846b853c72f4498765bf9bb7676fc,5,dead,contract,monster-buds
0x9d992e5fea2e61f5bfd7a4f5bd9ca26e222d36d9,5,dead,contract,monster-buds
0x0000000000000000000000000000000000000000,4,dead,never-sent,monster-buds
0x0e05fc263cb57db89aa9f32cc3f4743244520c45,4,dead,contract,monster-buds
0xd9b4342749b93504138eab8bac8e9279a0a3e91c,4,dead,contract,monster-buds
0xdc7f3c5fc1ce22e8d8f2c35029055bcc06ea1dfc,4,dead,contract,monster-buds
0x29f4c31f0553d92a92ff06aa026fbb0b2c52360a,4,dead,contract,monster-buds
0x6301add4fb128de9778b8651a2a9278b86761423,4,dead,contract,monster-buds
0x000000000000000000000000000000000000dead,4,dead,never-sent,monster-buds
0xe97b346214a58f8673025574768ef1f7ee10ed48,3,dead,contract,monster-buds
0xf6ca3cc21510c17c39af575cfed81431396a873a,3,dead,contract,monster-buds
0xdad1d161bc45457b4d79ab46fe0c764b194d68c8,3,dead,contract,monster-buds
0x9501a7fa84e2af47d1d819e61bd74f19fd76184a,3,dead,contract,monster-buds
0x8ba68bbc908ee29a5febee4d64fc34312ca5a3e6,3,dead,contract,monster-buds
0xd950b9a4f667184c386b0c57311784c762d591b6,3,dead,contract,monster-buds
0x24417d2a160cddebd2e8cb1263e1d7b984f48ac1,3,dead,contract,monster-buds
0xa5c05adef1736971c74609a5a1ab61a54c6a3bdd,3,dead,contract,monster-buds
0xd82e6c1e0bd2a753136bfb8c9d378e4ef3cac9b7,3,dead,contract,monster-buds
0x609e1de29d5e543a6eba15b73d9ed335e90004b3,3,dead,contract,monster-buds
0x6a6920e4b458dfe010059152821d7ae10fb24614,3,dead,contract,monster-buds
0xa33e4d70758a1f4cf4dd259c2e4fa4031d6ef17e,3,dead,contract,monster-buds
0xc15a5bc296ea52cdd41ddaacf517eadbbf9181d0,3,dead,never-sent,monster-buds
0x277fb2af5ce837a8e77c5607ef463e1919796d5d,2,dead,contract,monster-buds
0x06a207e260ac4eb10741dc1930aa554905d7e193,2,dead,contract,monster-buds
0xfbeebefa8db8b3df57e89e739bbd461bce7e9109,2,dead,contract,monster-buds
0xa1d28791561cb2b9313f7aafb22b9cbf77a76d55,2,dead,contract,monster-buds
0x785f41730ceae7dae24e2b34af605794a6f03f83,2,dead,contract,monster-buds
0xbf260d5b1d458b214daf5f022739441757647351,2,dead,contract,monster-buds
0xac0a7656b5d62e7d54b11f8b5294ce0ac1bb7118,2,dead,contract,monster-buds
0x6939695106f17918254e29960e4920c09ba87624,2,dead,contract,monster-buds
0x73cff87ddcc41702205bf25877c4f18f9e12c987,2,dead,contract,monster-buds
0xcf4ba7e158dfb76ba274b74db4cccbe7365b487c,2,dead,contract,monster-buds
0x705b691db0b71f24ebaefcc7672df88e4b0ce414,2,dead,contract,monster-buds
0x22e2dbc33c22a02ab7ebfc4d2fd0cb53e8bdd0fd,2,dead,contract,monster-buds
0xccd44e68ca6836ca296d6052cde58913fd2bbd8c,2,dead,contract,monster-buds
0x2aaddc7084766fec23a68d522dd88a2f2ae8a949,2,dead,contract,monster-buds
0xfd07481b85118b322a0921bcc3c65db242cf272d,2,dead,contract,monster-buds
0x5373a3642144502fbc0b03a682773a64381b9f54,2,dead,contract,monster-buds
0x41b712c0aaa05686eb99b29624cfe71b778b1a21,2,dead,contract,monster-buds
0x440bd23858e50918895171f24d4e142e5a1abe39,2,dead,contract,monster-buds
0xb90b1bd6068b243b2f8602c3e445b072c1e3f999,2,dead,contract,monster-buds
