addr,amount
0x1d28c5fc9cb332d692e154d91229f7159a2fe9ca,6
0xb9bd55eb41a48dd8b3141a09c4c6d829b581cfeb,5
0x3261a7ec2dabbeb1a03561d06e6f61ffa03ae74c,4
0xcc207e0d707447da91fc36b87ca49436e4ef6001,4
0xe087a1a1c4208138d470be1fc9240a492d80bbe0,4
0x01572de0e62e6d3e689a9d9ed93579749fb991e4,3
0x0301375ea9828b525ca2a9bff994ea8fe1a72427,3
0x04826bf05897747762a8cbd1fd10126c6f30d9d8,3
0x0681409785aaeb6e71e53a8d1f0f85c0ed9fcb5a,3
0x1245e4da78198e3a065ebe0deabc41000dcba196,3
0x150378665ad818b09e2be76b3301aa63ba762a42,3
0x174cc60fccb27c0571c9dfc2f2554be908e1051f,3
0x1b5169fb5bdb53f8391df5ce0c7b841b677eca99,3
0x1f079ea6fbb9b9b7146051c49e921cdba580c125,3
0x1f6ac1b68626e7cc430d5223790a97bbb92d8a05,3
0x20dd129930204cc1b8522dd75c8803b126f78876,3
0x2980ec2199f832e7542c5c43e044a8a0709550aa,3
0x3690c999a82b01b4e1ed7883ae2063848f1a7312,3
0x38546a280ba5ea247e9d3723e8737249e6e501ab,3
0x38a4b6a83fa18e276daffd50bfffed95ab722434,3
0x4306dd0c18b58e34e587003841d736a449392d49,3
0x4457dd59dc9f1dd6717befc73a7fff2226ab46a6,3
0x459b06eeed0bdf1a4a2c88cccac1d24165ae96b5,3
0x4795f922cd3cb66019fe5a2007bd752e823536ca,3
0x4ad71a37f030e2373d0f2f7a127d10ce0ffcff38,3
0x4b430620930324864f04c83124c2c78b7e84fcfa,3
0x4d59941659a30edae9be99f3781b9b7114a2da5f,3
0x5c3ea7fdf251ad0774e9d39d462c49a01aad9cec,3
0x5df4abb6fa9130768b7daacf489dbbc7dd976c2e,3
0x6498bddacb915007a5c28a9a5d881db04fea9b10,3
0x72dc7e57bd99bacf13c3c7bdd2bcb10e47cd3f34,3
0x743d5ce358c50a898073632fa78537fbb88eb266,3
0x74bd49df44719d641f63f6e6a1f4182b9363b4de,3
0x76377320846034365c439be773e85d333a1e0edb,3
0x8a70e820217ad4fae199edbc5a7c4306f745513b,3
0x8f8252e79e9e9d93a30626b070500257532e0ffa,3
0x90aa87b9e5ddecd6c09eac0da5020c72a6688150,3
0x98bda9a447e0022a57db06bc2d509528776506ab,3
0xb5112778b8b562bfbb96c12b7bcfc0c138a7e176,3
0xb83efee0aad06a8f7bceb9eef660b1a3663b2116,3
0xbab0dca296434a3714f90e011e11f754fb9a3acb,3
0xbaca135d297d17b584327f7bb436df5d271a2ac1,3
0xbde6aa3c89db77002df747776d2830cf9090d94d,3
0xbe62af5c854761ee4069539d622ef5ee5f6a8d32,3
0xbf3c92d8d62f3da334b86a3e26f1a7127ab7d982,3
0xc37b9024eb82c53038444f01813693b88f6c80b7,3
0xc686a12fa586aac3c087aeed64bcd21bdd054656,3
0xd1a5b91957530e1b3e9cfac1543467c60c352f69,3
0xd99139b8d2cbdd90fa6873957bed18878f8fc92b,3
0xdc35f4645400b446e9de332163ac858e6c47c3e5,3
0xe35c2e50041af1fa44b74bb07ef9d44fcc6cf2f9,3
0xe367968aa500bef799b11ddd8ae68de4a4c3ccf2,3
0xe574931d144d398b295881f87cea3e3e2dfc44e1,3
0xf15deff9f34ae294293bbb90bdbc3f417bf2bd76,3
0xf35837299cdf94d9b7d949c799f1544be548ce8f,3
0xf8479b8e984701abbb0f5a371910b81015cff80b,3
0xf8d946c1db7e3552b0fab941844e179130b6f6b5,3
0xfe0c3af0af8bf4e04a471ac36b7d502859c4f165,3
0x045bfb4cf4a1ec665ee364924a63c6a234acfe33,2
0x0851885a2baec9be7b052fea94ff211e4207eef2,2
0x0ff8dc3a0976ec1a58f86d8df0009060c86d3f29,2
0x22986607f2a14c020e2bdfa66765ad3994141aaf,2
0x313fe2f013b5ee2e2aac09b59462464db56f7680,2
0x3351eca19fce8708957283922a2fe9aed4857644,2
0x3359b920ee8bdb87dafb1be8ba5f205f0160fbd3,2
0x36ebdd363020e6cf9597d046b862116a623541db,2
0x45bb9d44840fab87787875892017cb064b3037c0,2
0x5029dfc51f194d5b5f4672fda6a123ff00122e60,2
0x6fb095fe132804b2250adfd1e851ba27810a8523,2
0x7ccb99f4bfe07b4ca794440ef682074b487d94ed,2
0x8a4fd43c65b3c89f1a87cda849ceea149cf17542,2
0x94cd8bc32fb456559923dcdd38f93e384a60fde1,2
0xa6a106e85b43735f9b457259f099f1366eafeb97,2
0xa745f501cdd7699fdf15f6ea3f516088ab900e29,2
0xaf9fa3e56d1ea67183e5ac380c4678abc95df29c,2
0xb5cf70f13e2d3f87e01057ff095a84aa40b3b13b,2
0xb9d8d08b00f636ccdb7c20746e4f07d96cbd4d43,2
0xc1dec644ed03ad0a4931b3db7c7bb0a7dcf10ed8,2
0xc953b11bc99938b35cfb1c57fd1342a64b1cf30f,2
0xd02972b579c5cbdcd7e9debfdba15704a38a79cb,2
0xdb270f40269d0714d3b3ec8e3ca79932d8aedda7,2
0xe1e44529a2e9166c153993c7fc55c39be6072b94,2
0xf32c5b4d7229333544de9c135a0a0dd4713e4435,2
0xf4e654687f7d711702671afbce763b23ffdb259f,2
0xf6ab97ad7b28b6b8e2c8f4ee669424b85346bbd9,2
0xfb09e8cdf25616148fcd4cf01b5eaba74efb89d1,2
0x0017b306d9eabd700febd42e0f5a0c11193e75ae,1
0x01153a1c7087010607ff859ba77e8735846cc795,1
0x0214f1a2091d02d697f3fdec7ab6acf645fd69cf,1
0x03e190e1fbf52d205ae13c5f130fff22f0bc849d,1
0x04267ed8b7a57e0a1453609644794ba4072cbd41,1
0x04b657efea53af25e74808415da1c72f567c8794,1
0x050c1c3d2e802dd6208acee28806cc65f35f9327,1
0x053177e528e9ee17d55a568781cabdffff41460d,1
0x05d2f4a276b2fe445c0ef786487dd1bdf6493bb1,1
0x067b6fd4ec0b2c867cb57d7f862cce928c190505,1
0x06b0116decfe7cf6312020e177be9f353cfd2822,1
0x098361705a667526314082975258d7f22048cb3c,1
0x09fd4ad08938a63738db7b9dbbb12f7e36768185,1
0x0a9c52dcce024dd72aafeb43c1c253b93ab6ee2c,1
0x0b6da26a50a53190e7fcc033ccc4002f171b4b35,1
0x0d1edfb5b0abdf9689077af2cd9780056a14cc54,1
0x0e14409004703a9363b308260c63a1f070d5f940,1
0x0ec493a5f8c49af9c1d3111974392e33f8887754,1
0x0eebd63783cd3a6981aaa30df859fce06acf2fc5,1
0x0fa3fc1ba1d80d59295e7927ee0c8d994138f880,1
0x10aeb1a76a06aeb6223d8bec43a41dc40a0b6a8b,1
0x14838694310e3da44d405cb7cd15eb138aa6517f,1
0x15df6b3920028070dee10aafbe49605c8ae82324,1
0x1696514b4a7aa3d9b831c570e649aded1725ec39,1
0x19016222bd086e8c277c54e51db88dbb96f85d62,1
0x19c5c9cda477c86253ef5e8ab35a56183b620046,1
0x1a66f7d4033eca352a7d291d17caff7c2b3d3f56,1
0x1bef3e995f9cd9b20d547f3718a1dbdafc90fa05,1
0x1dc3fd6fa3bea4266725b27ef017011f3af7d362,1
0x1e780e2f3de7d7760b6673108f8c3936f5a74cc5,1
0x1e887283adc01cacca30dd0ed80ae2d5ddc5d847,1
0x1f8111789967f36a4c4e7bb616e1ab61a2d6acb3,1
0x1f8b3b2f05adbd154c941a4fb7b7ec2affeef475,1
0x2186784ba5761c2ff8e3c16bc8ffb3f262b50cb9,1
0x21caec48e128f6c7a0723c193220f0cad78d6d83,1
0x2204431894f8c2d881f095db9db450bc6993202b,1
0x221136decfca68b1fb94f5a9e23c0987ef49e5f4,1
0x22cab0b36cc4ec24bfd5732d07828b45e7547f9e,1
0x22d63ea3a9e7ca3470023ae9f2c0fd83ee46cb45,1
0x23a69c76f72892dae64b71e251bbc42de8c7a41e,1
0x24fda918c1cc2947486fb1529d1b1e863b1bccf7,1
0x254768d47cf8958a68242ce5aa1adb401e1fef2b,1
0x273b8feb49c6593c9abc9bcd4c2f19fe4dea5e10,1
0x2814bbda1c6e1180b8c199983a1be4bd4a71c6ab,1
0x2b2a80f6ea4e62fe85c125fba213a8994b441e6a,1
0x2c8ea7c783464fe52952b0380f5df16c912adc84,1
0x2d46f00e31745b85572f83c30f258f53ee27804f,1
0x2d9cbc4ecfbd1b8f66aa798fd51585ae058daa8b,1
0x31fade7419bb2949fbd72afe3bf3b5932a9592c1,1
0x33576a2dc370402830d93a8b71bd393133cf3b09,1
0x3610cbd15dc6ef542531131edca5de1f3552a7e5,1
0x365c066774cfbf9659c38a43869ada887eaffd61,1
0x3683a2076c48a6d4eddf1066cc99ad860e6424df,1
0x3939603fe78202bafc73f1d00d67833b86ebcfc4,1
0x39dea7862a48677cdeb8870726503764788332b8,1
0x3a4894f709544e5a3289d55c3b7f988839362712,1
