Address,Held,Points,Amount
0x2d4d0c9290b8647c8283abb77058db3bd8b71461,93,3,4912.280702
0x4692d227d099bb8d65ce134d1a2bc47ac2dec292,74,2,3274.853801
0x866b2ade53ea7c547357924d688d458359210c8d,60,2,3274.853801
0x43937423e1b9e304c409b9961f031831dc6d1d0c,58,2,3274.853801
0x460e897a567972a07a53b04a71ac01f3f73d195c,54,2,3274.853801
0xb2c5b87e865eb9bbf93d369abae565a47aeb1394,47,2,3274.853801
0x2619af2a9afd3d49a87848a5feaf80eb43a4bc8f,40,2,3274.853801
0x380e763a3d5cb55a3bb1c7fb45e7448d9267d5df,40,2,3274.853801
0x5914f3d8e7b57bc7dbc037c010cbacb39555ab99,40,2,3274.853801
0x70979b4da09560040c77549740181ae0f4af72b2,40,2,3274.853801
0x7877bfa61adb814b444e957fd85ca167a0c8bf65,40,2,3274.853801
0x8659138ad7e80398a856e46caa0e12897342dfaf,40,2,3274.853801
0x8b1ac5232cbf24448d47331288fd5a452e76426b,40,2,3274.853801
0xe5eedd28b9b347135e7dd99b99d1aefdf49a8c2a,40,2,3274.853801
0xb28ec2a4c71025b5252449a7d2e45cd07e0a7b69,39,2,3274.853801
0x56ff8480522f7de32a0fd7b408373b916a9a3984,36,2,3274.853801
0xfd651f5d5bf1e828452f7c18b4530d8a73b3ba0b,35,2,3274.853801
0x47b110e85f4db61ba7b3e7297d2b0c58e01dfeaa,33,2,3274.853801
0x350908c6b2d548dac798eb146b6008972e0c6ac9,30,2,3274.853801
0x5874222d917222adce130f603c65518fc1fa1085,26,2,3274.853801
0xdb5c24bb90030ed61c91896c5111a954d9375b4e,25,2,3274.853801
0xa21ad160bc4e14494c0896de2bfb3a36a4f6ac3d,24,2,3274.853801
0x17f6bf3db07039a7c9ed817059a154cd12f13df3,22,2,3274.853801
0x3b0d954c024384e949f0437fb4d4ad73814b3be4,22,2,3274.853801
0xb404f05e71fc9d065a3bc26815a0d56880bc8315,22,2,3274.853801
0x23b3f731050b039bd80a5e67cf8ce8e874f83539,21,2,3274.853801
0x54b1ba4a0b1a6059202a75c29fe5d0ebb5e9fd1f,21,2,3274.853801
0x7210534084b47fc284d6251287d4a2f2d2b3c5b0,21,2,3274.853801
0x3b1dab0c544bd1f67ee933738d5594a37292f081,20,2,3274.853801
0x41c74bef606212a3077cd6528c6d00964fc9e24b,20,2,3274.853801
0x52b569ae075a645cb4b6af7f40ba123f143cd28c,20,2,3274.853801
0x702174cc90f695a0a8fe25c38e744f933b027407,20,2,3274.853801
0x82cb822ca2658cc40bb0f8138632b24bc27fef2e,20,2,3274.853801
0x857a9afe588b604656723e370ce875c8dde6b06f,20,2,3274.853801
0x9fc164365ae8947bbf0a5db2b72ed2e8cb57cc6f,20,2,3274.853801
0xb3ce0d32f379acc83ae53cd1228d6ebe72523dce,20,2,3274.853801
0xbb8b95e5e31bc12bd042e6a3a08c31bf85dccaaa,20,2,3274.853801
0xd80970585128a6b55988248aca64cce0b38afc71,20,2,3274.853801
0xdcea8b9a49fc503aefb8ff0b64c46b80e273aef8,20,2,3274.853801
0xe48bc85f240164422fa0ed3305e0e6f825c4e0a3,20,2,3274.853801
0xe58680f11abed9872e1bada6a307ae0eebe1a69b,20,2,3274.853801
0x534184ae6df9bec7c50a73eaf4026db63c87fe1c,18,2,3274.853801
0x534a1f7c349cc8aa1c296f8f7b23a2faedcf2ed7,18,2,3274.853801
0x737825cbdf0b9ee97eeb8e4b506a2fd47e0ccc7e,18,2,3274.853801
0x8e66a62560253b8ad6c6044ef99874dabed3b1cc,18,2,3274.853801
