addr,amount,class,reason,community
0x0000000000000000000000000000000000000000,31,dead,never-sent,secret-sesh
0x62b2cd4f75857c300e7e504658630e367b500f64,10,dead,contract,secret-sesh
0xc59523e69dc4ef360702fe9cab9ac7376b5a4cb2,9,dead,contract,secret-sesh
0x22dfaca0f13d668f3656d949ce27722166503d2d,6,dead,contract,secret-sesh
0xbecd50849dd20c751f30d4ff28019d9eb1121d96,6,dead,never-sent,secret-sesh
0xd9f5e98ed118675670f9176774cccc3163b52749,6,dead,contract,secret-sesh
0xe8b15f1e49e3580b21b886ded872bd6b76f6ba3e,5,dead,contract,secret-sesh
0xeeaaecfccd57cba014173e2868fd1f360a357447,4,dead,contract,secret-sesh
0x34ffe106f50ced4de74cf5c1012a1724c5fa21ba,3,dead,contract,secret-sesh
0x5bd35b4fdbf09bc6f8c4f4331ac18520036882f7,2,dead,never-sent,secret-sesh
0xa5d2ec38318c1f24906eb7a94d3df5cf0e66263d,2,dead,contract,secret-sesh
0xb49b4a2d614a340818e43c4769a303eeccd040fc,2,dead,contract,secret-sesh
0xc0a6188d31dd003c94c516f6abedb786c7a01f83,2,dead,never-sent,secret-sesh
0xf0180d603e266d8ea792d5ba4a36c552ac37fdbf,2,dead,never-sent,secret-sesh
0x00424f585d92f32ecedc5d33d8291736bc8fb4e9,1,dead,never-sent,secret-sesh
0x056151caf3f6d9d9f69e67cc0acd12de0aa45934,1,dead,never-sent,secret-sesh
0x0b46108307c3430f903c7aeeaaa197fef4867259,1,dead,never-sent,secret-sesh
0x0fffd0231516b69c68b0150ca99346efa5246686,1,dead,never-sent,secret-sesh
0x19132fe9fb28e923da6ed8fd26db13e8aa85874e,1,dead,never-sent,secret-sesh
0x1b850778ada35efe0217df026e0c2d0b493a62d1,1,dead,never-sent,secret-sesh
0x23a0896b92cdc7df51c125bdd0e3905128b2a0cb,1,dead,never-sent,secret-sesh
0x2ab6f51f76a8bfaa260ffa7792e5b399ee0309b2,1,dead,contract,secret-sesh
0x311b0b40eedcf3fd99119a7e25688e15e41eba29,1,dead,never-sent,secret-sesh
0x4791311c1953d343c753f8ec830339c066667bba,1,dead,never-sent,secret-sesh
0x5017750e3219fb94bec436ec31f835faef11282c,1,dead,never-sent,secret-sesh
0x5b8f0bfd2b4932c330f3498bbc2e6f2b0967c4e8,1,dead,contract,secret-sesh
0x65dae20d53d51371f11fd80242219f0d6ba36bae,1,dead,never-sent,secret-sesh
0x66aaca1c63f77c14cb9859d10f8f38104cefeb31,1,dead,never-sent,secret-sesh
0x671a2de8cd372f9d0724d877b11468c496595e6b,1,dead,never-sent,secret-sesh
0x681ecfb30ca5f4126bb9e570415921c228670877,1,dead,never-sent,secret-sesh
0x68f8dd242f2445fa4028d4e7efe1dc5587edc190,1,dead,never-sent,secret-sesh
0x6baf22c2b7de4535f9abbf69e2cb7db0522a507a,1,dead,never-sent,secret-sesh
0x7095d3ccf10fa52325006585226e4383268a8fab,1,dead,contract,secret-sesh
0x77166deb1ecf389e0e1247f7fb5b01adf3d18be5,1,dead,contract,secret-sesh
0x8e2ade35caa2201cf37f685fa983b6a6e36ad1ba,1,dead,never-sent,secret-sesh
0x8ecb220fa22b697963a0eb6989dd6412bcae102e,1,dead,never-sent,secret-sesh
0x9078cb99e5ef075a4a5deced8fddb46876618c47,1,dead,never-sent,secret-sesh
0x9236ca04ae3e84ef4179872ba536df606a43bfc7,1,dead,never-sent,secret-sesh
0x9c92fe4f99ae041012d26673e8536731e88af828,1,dead,never-sent,secret-sesh
0xa2a1ed1fae3f23aff58d612437e17b03b0e1855d,1,dead,never-sent,secret-sesh
0xa3c1f5b17adf24d8612ea4637c1a74fca0ff6f60,1,dead,contract,secret-sesh
0xa3c7c44130f2bb2292d1d88de0f7cc29769aa0dc,1,dead,never-sent,secret-sesh
0xa9f4602b0276debfcc4f8c81d6d19a8e381a0510,1,dead,never-sent,secret-sesh
0xaebc1e87b6b442263941723f93ff025c54b1ade5,1,dead,never-sent,secret-sesh
0xb2f3856b029b08ffbb03b07de7fa2394b5a0b334,1,dead,never-sent,secret-sesh
0xbd857eacd1d0354b16fe57d711d5b8a40a467a85,1,dead,never-sent,secret-sesh
0xc8d70cdeac2b46b88969c71b5be27adcb1cb3dca,1,dead,never-sent,secret-sesh
0xdafafa31a75793b6e5fdea5f0c0b5e3ed572a473,1,dead,never-sent,secret-sesh
0xe88ec898f8f16bfaf29f16b42c34647879efbbcd,1,dead,never-sent,secret-sesh
0xe989e71c077c5ba70baaef77a11548b3daeab1ea,1,dead,never-sent,secret-sesh
0xebee5438ca873a46b32071559f54e616671abf5b,1,dead,never-sent,secret-sesh
0xec5caeeebb2cbf44b45d5012ccba64cd86d2a689,1,dead,never-sent,secret-sesh
0xf5b75e51c0dc8fe40bd6e61749475347a98817bf,1,dead,never-sent,secret-sesh
0xf87a096104080fe2918d742ad13892364b54e37a,1,dead,never-sent,secret-sesh
0xf885167d8058e0b4bc901cf91579675a076d8316,1,dead,contract,secret-sesh
0xfb4d88881873048fac82600671b6177d6c316054,1,dead,never-sent,secret-sesh
