addr,amount
0x3996e27915fcb280e5aa5f121dea6a2f655284ba,89
0xfdacd424cb86466d1bc174ea61de9112869688ad,8
0xb5e943f33f50646ae2d2fcecd95dbd281ae97f08,6
0x695e63e22170f10bc46a29722b724d60ae4c0b76,6
0xd07afbb70cacafd83e1cdb4a8dd13ea8a052845a,3
0xc44d1e43be1d2c049eb6a0039d97811d0271c9da,3
0xbab0dca296434a3714f90e011e11f754fb9a3acb,2
0x7362d5a8d2c5dfa69356e0f4a4a716800fbc0d03,2
0x254768d47cf8958a68242ce5aa1adb401e1fef2b,2
0xeb6307f7241524a89b192c19a3cc7e1389fba3cf,2
0xea3186ed75b480e7a19270ff07bed28a0f5285d1,1
0xef63c67795599a0d1ecec391640c36a5cd481535,1
0x5dd49fdec66b970a00ef072456205357556aaa38,1
0xbc8fd1167b90dc83aa03b04da0e3a8686e23c1af,1
0x50ea1b859d338ada9722c2450b552c01f1662674,1
0xba4551d8c44cea1f5918adfd25a9d14b0f159da7,1
0xd7fe8bb610ddb1d5193bdfb8148e39a3781ab3b4,1
0x026203473d49ce2834922d04976a5300d3059126,1
0x93181b723a84bc7114dc84cee3065ff10f7fba51,1
0x10d425f1ad54ab7b0b7713e93754e52a0a498e88,1
0x87581bb5c843fa339a224b3f41ac4c1d478f98db,1
0xadf4cfe65432349dbc11358f59f107bd10078052,1
0x7d6a8bf391889008931c17e6402034dc0495989b,1
0xbea1a871cf6bf1fe159d2db2dfd46d9f5ffd5c15,1
0xdf9fe9eccb7c8fab43c473c9d0ba88d8458f0f82,1
0x3e7f1f3ae3869440fe477ceae3e6faf8c061193f,1
0x98dce5a81c619081a97e253f90365a37fecb4242,1
0x375a65a53c3f187a4957b049074aa30fc4dc1e18,1
0x2ec4a149f907a5d339046d9d51c0bb23ea24a1c6,1
0x01a182ee9d2089d299b6dbfc503864d366393fa0,1
0xb5b8de1a4c4071b95bce50d66888ef89d4410ce3,1
0x2cf4553b684b64f4b2e66201768df3fda8d0c7b0,1
0x86f2f7eba909daf99a6ddc260bd3186a38d6fba6,1
