addr,amount,class,reason,community
0x695e63e22170f10bc46a29722b724d60ae4c0b76,6,dead,contract,shurlok
0xea3186ed75b480e7a19270ff07bed28a0f5285d1,1,dead,never-sent,shurlok
0xef63c67795599a0d1ecec391640c36a5cd481535,1,dead,never-sent,shurlok
0x5dd49fdec66b970a00ef072456205357556aaa38,1,dead,never-sent,shurlok
0x50ea1b859d338ada9722c2450b552c01f1662674,1,dead,never-sent,shurlok
0xd7fe8bb610ddb1d5193bdfb8148e39a3781ab3b4,1,dead,never-sent,shurlok
0x026203473d49ce2834922d04976a5300d3059126,1,dead,never-sent,shurlok
0x87581bb5c843fa339a224b3f41ac4c1d478f98db,1,dead,never-sent,shurlok
0x375a65a53c3f187a4957b049074aa30fc4dc1e18,1,dead,never-sent,shurlok
0xb5b8de1a4c4071b95bce50d66888ef89d4410ce3,1,dead,never-sent,shurlok
