addr,amount
0x4660b501ff52fe814adf0164c327d8e1bb67507c,15
0x0aefc520df2448c276204222f7417b4f786eaa5d,7
0xa045b859c6ceeb4a4061c6955945547d26666032,4
0xf212f310dee8ef7e8f66438493d11973826ef022,3
0xd3d1316b6740b5b06b01f9471715e601bbd75f04,3
0xf12a5e8ba083bf5621ddb1f8287fa3d52d079ac6,3
0x3344b512c48df2fe988c44961d6279587caabdc7,2
0x6d10ab9b038122124de213a2ba8c9e6234ff3d4c,2
0x34aa4853c3635421bc99068d0e68ad9a201ef029,2
0xc926dc26dac55873b4a3b9b88357727875f1527f,2
0xd05fcef4079cb7f968814e5615e47beba2fc80db,2
0x24bb3fbba92b9697487b9ce7e216c03a7e6a38ce,1
0x2b5bb697dccdadbe46d3c5e88cb7102f642bd74d,1
0x0bde499e3ec8d5b14517b8d8a5a8f40b1708984a,1
0x363deba39c26918594aa8c0319293fa50be031af,1
0x3e4596d91797b1768f253fc563515af10186bbbe,1
0x412a5310fa959e68f38c72e1660e8aec46c39be4,1
0x4c411562099180d35e36904294f257cd93d08be1,1
0x50afc21c6c5bc001fc7117fe0883ab300a5efe7a,1
0x589711b64312999b0a6da2a35af62e8534112c4e,1
0x6984abf56f07a9b77f9c86505662df02abd18ca9,1
0x69d7ca6a0d24f1d00bddb4c97f988c2c17c90dbb,1
0x6ce827813c857b12c37304992caf2071c712ed92,1
0x05677db6670b42b84b5cb1d4d7404009de60769c,1
0x70f9b79f9acea7c703998452f42ae5f18b510404,1
0x754a7c295a48cf90e374a664a1c42296f03501b6,1
0x7ee57eceef4ee77625480d6f5dcd1f98b74b0f5d,1
0x7f2d16f5b94cb29fb9ead07cb46c0e74e6523c26,1
0x7f631aa7fc07a01a06c1868e6ce0dd2ca13f2a8d,1
0x854bd1951c0f66c30d78b8a88d5f8f750521a133,1
0x05ad0ab57b2a72b4b7ffe22dd4a16704d4e4d404,1
0xa4fff006779ab941af6f2c4b7087f8d33dfec766,1
0xb20daedb7a51d6b67003bc4e1de7ef67711223cf,1
0xb2c5b87e865eb9bbf93d369abae565a47aeb1394,1
0xb50de8d817c5196c9d5c7191d41eb217951ce6f3,1
0x08395a99767aab0f96bdd961ef000b4738427ba6,1
0xc4e34bcd96d88f5b759c7c9e33fe0956885ac7dd,1
0x08d6191bf9548c41d1deb3b00ff70a7539b45841,1
0xcf0058385be20beac165adcf55c4f1c03900edb4,1
0x100fdba9e1c893769f91e4b390f9f8ebca1cc3f9,1
0x541893b35d6cff9a3c2bff28362173325adf84e9,1
0xe0794b5654112b9ed19ba35a47cb8f88412d5e07,1
0xeeab673c059aee53dae83bd985f98f2573001513,1
0xeeb5a4b0550171864f8e174885996c8e093e3a3c,1
0x1f80979301ffda08cbcb31f8f577fd2957c2a41f,1
0xbb6a0fbe1f1d4d7d3df73efa4dc2888f6dce1736,1
