String,Count
EePnRqV4Q2VEHp5nPADqeGKcfPMFmnhDW1Ln9LKsTzWQ,132
AviSt4kCQb81mYbNdWnYUMHxCWLuzmP8xzjA2oHSKmkJ,109
FhvjfcGnp6wYhNajyPLwYR5ju1v7PtjPYiSeUskabYss,104
HFPaT6WKk9SkwtYVZ5m5Sqw7ZbyehGu9GHjsctigm49S,96
5JQZpgEBqg9QUHJ9qH8eibJ43nXrQxkvsGWtBtxXSe8r,91
2cptys9A8Hy8bnnFFviiCpb5BR5ahXVZrF41D1pocQCo,90
J9kw5WtEsJw4bkKz78JAaea1YwQ6THZYLvAQfqAJJXJi,58
AhZa2cqqUFQnCXNjDupX96qk4NkqTuUhuQKvavJ3buqk,57
64aynndyDZtBuUrUi3JMfFqVi9KWxYr6aX1RfmmVvtbb,57
AhFJ17wRz92LuJhmFNJrDXDZe1X9sekVfrUdpcbGZJjm,56
78RqjjpytPqf94zS1BQe9Q81K2YEnD2ZxTXUnfru81iy,56
5ozupSFqgmEhMxJb5jFZE85vS8Ct3MCVgNHDJUR9rgEf,51
fb69eGeSoNP3wSxdnTrbUufcJVqCcRe3LpdnG3WeZsT,50
Cn3Fg8bhXoyAT8EZvuV4MxLBmCSP9rrMFiCWm9cMFTef,48
EYvPkwXdUUsF9xUbKAA53Gt2q4W4ktXPXcXdfCBFbDSM,47
QFDzaVq6pfJYe6hCUAkw3ybotA7RqEAfssn766SiXLb,47
EpAKFgLFDaBsNvdeddxryoCy3uzqz9HTjSthw1k58h7k,44
GNDioYDPHsL4LfadMPxEA3u5guBqDiSgRsoCQrs7GuKo,37
9iV3M3t4PGkrVzFWeKUMg3UEPgt3eVKUt6C3sWUMrZYy,36
B8Vuav1tHCe8tS33rGkf7VJEmWTg4DyppbmNg6xK7yiM,34
6vWqepbRFdL79qwkPjs6V6RzHB1JW7S5F4AJr8hsLLFk,32
3wT8tbkGXGZyk7wmCwmXUQLerjHD6yDtnkPCUAkDpvhC,32
ABGLAB5UQ4oeyVH61RkFkxP9R5LY3iDQFBrDSiP86Tzc,31
GAdN4stJMWM843WxvADkWgXjM7Bc9xYxqaruLyViv8ne,31
A1vFPmFspoSmXgUy2dEdxvAZDLf2MjnKtTASa4a2CxoV,30
TGPDuarmJ1R6mB1EWxSmu5uHkPeqaqBy319K3WosyW9,29
3fiTj9Y9pSAgSwkoXDXWkVXdhaFnCaDRZANDeTDDKem8,29
5cUG9zagDetsvM4oqBGKhABRaNoRDoQSLs8AyXm2Hrm3,28
2vMbPgHrSso5BnXxkQ9wAHg4WE7BL8QMT4U8Dn4C3jvg,28
DMduoc2EYmBd4gMwjLCoQhQYNkM2riM1uF4FK38R8H9k,28
CYtVNgrg3cHi18FnLb1RhtEGcs2i1D2bPG7gLYNUknSC,26
4k52Qx5vN6Bb4YTtR1jUpygrxKWx2NvT4CKKnxHxfEML,26
2X7qjY7uYdtnniKWpmnwGzTWCSvgYwmpFrszopFpf5ZK,25
Fj6NJzHofwfYJ1DEZ4WupMfRe79g7jTCRcKY3zocSvoe,25
2cuRwBX7QTfNB5553hLT9VS25Tpa547XCWY14BShG35v,24
BGoYsU5cSXyDuEd6Gq6gnKEKHQmr745nD5GDCLxTmBML,24
3GHmy5h5KF2JSQvses8VZX79UFxepfhGz4Rm5uhCToSH,24
444odxXJyzR48iwYJuJeuNGha3PJSrRWS4sajjeire5H,22
GBJbNF6fmYChQhTbhRZke8eM3DVhL6JSZYpKBT7NDzEe,22
6x9Y3rqABpo7bRHWPhvgqNHBXUsR4t16HuYwGtWXHNvB,22
FAxy8bgDk5fpBDVspyJW1c1LpCAdxPc9dxxfyoftHkrj,21
EfcUax58mfAwk8hEpdgYZbCMEhyHhKX6Qy7vzcvEbfqV,21
2QUSBD5LmpQp94GPjynQ5khyKb5jGtLT7hBvVyVgCM86,21
CsKZ7fhyu2ESPbUWBezwBpyfxYZbQgoP3PohTKSPk7SU,21
86TPtiyuHz5bPusqT6qG58Dj6e1X9AYuitZjTaXtRAdy,21
Fe5xkXbvbHHs1XE141Bu56ENcN4WnWt5sq3FRuMY7EFt,20
9B1o4EXNac3nXmNLgicsSZtf8jwzUVeRCi4RUxBuCehC,20
DZXBgw9Siy7eF1aZD75sjuHEhsLxtPD5BGTr8ujCbnxa,20
EuuN1sKvasCnsEm23iKBxFQFLgt3LeyVidiVcMnSoqcd,20
AtM16WxSX8tnUdNBmTMGB6g9tvdvmuufz4trNnf7K76z,19
BFSLAYAzXrVs4kX3Lyk17EVw9afg3kVx17AyWTNHPrgT,19
DKMZpd8UivUKkAfNdPSieqprc14SHfftHunMTGD3ngTe,19
GKWJXvuFcZaWXmARtUegKbwQAkJ5rrtHfXa7vcxLzdQJ,18
4UqgZF8t6wYvveye5wFDP3VPYEGv4rUYS334jRE5HDYE,18
D2awt5GkHM8srUuGizNfLhbZaG3VR6NBbE5QGX5DKGB4,18
27XrWo6pacmMiv1oRohS7hz2uN7aJpR2myeaVrY5Jbur,18
5URAzdRen35oNBUd6BKAyjdadwhAgFDxyx5NkHNm4Tsj,17
7PZJEWZ5b3g5NQ8VKEK2oMoHD6CmCj57piFq9HYaWkEE,17
47zQUX5vGaHKzHSmzsTEsQnjDbYS7pRCQL6QHYwR4fs7,17
