Rank,Address,Address_Nametag,Unique Tokens,Quantity,Percentage
"1","0xe4f14360e315025d686c1f9f0a8ba253b86b1e77","","1","10","1.7762%"
"2","0x2b4382f0b0e1f3f2fb3e67ed9eac1872d1c239c5","","1","10","1.7762%"
"3","0xdf141c065de75bf3f051a63f7e402aae63afa342","","1","10","1.7762%"
"4","0x1c829a9a62c9c8d102a4cdc4eaa3d2ec531b325c","*la➕️ch.eth","1","10","1.7762%"
"5","0xa1a973a38ccc99058fe95da398ac3efad8acb203","digitallysavvy.eth","1","10","1.7762%"
"6","0x4834614c3993e059a5f70a2d48a4ea90d30e7c13","baileydoge.eth","1","10","1.7762%"
"7","0xa771913259839e9cd0ecfec1701247d32c99df33","","1","10","1.7762%"
"8","0x42ec89330cdd2398b2aa32fa5ba3b6ff0a8bab57","sakisimport.eth","1","10","1.7762%"
"9","0x2cf41f874f4b60d8792ae16e5e343ede2f574353","0xglyf.eth","1","10","1.7762%"
"10","0xe6a57651b2e3f38f176c75e977ede51d4ddf6629","digitalmisfits.eth","1","10","1.7762%"
"11","0x4d2e6ff3fefb7863ba821c8c0fb671a3eaa38cfd","jesusgrice.eth","1","10","1.7762%"
"12","0xdd147ff6b673c0cedc589e0b3374fad2d29984f5","beantny.eth","1","10","1.7762%"
"13","0x3e853ad59a33c23ecb31c06f9746633da6747b81","","1","10","1.7762%"
"14","0x60fecd067c16a85bf8b6da11e47dc7ce9f0437d9","trippylicious.eth","1","10","1.7762%"
"15","0xbb6a0fbe1f1d4d7d3df73efa4dc2888f6dce1736","negevpro.eth","1","10","1.7762%"
"16","0x57638bd80cfcfdf172fa1d2d67260bc253096b7e","","1","10","1.7762%"
"17","0x409c8c9ea976ed4914f2e47618f74c5c53d9ce47","","1","10","1.7762%"
"18","0x246c7e0b7ead450848de51d2b54473c72ba1e3b2","theig.eth","1","10","1.7762%"
"19","0xd04a0581a7c9f6332ddc247af0995682bd98e4e9","","1","10","1.7762%"
"20","0xa101064ebf57549e47e955c746744342bdf613b5","","1","10","1.7762%"
"21","0x59ca8afa16eeab752fc5fef6614ef2c2df993424","outthereart.eth","1","10","1.7762%"
"22","0x6604f64ef39394f0d947ceb9b1f9697f0a5f199b","","1","10","1.7762%"
"23","0x8413f65e93d31f52706c301bcc86e0727fd7c025","joegrower420.eth","1","10","1.7762%"
"24","0xfb868ddd0a223c6a565eca6a150cf31802dd8515","","1","10","1.7762%"
"25","0xabcd831eed69fe025aeee88a6a8770ef30303161","","1","10","1.7762%"
"26","0x4ad6380c039d201627e3589681a0871906f03c20","","1","10","1.7762%"
"27","0xe4684f9ab82c160287b4ce2070ae7aa680341cd7","lizettemejia.eth","1","10","1.7762%"
"28","0x2420ac35fe78a6eb5b2648354c06076a8b7a1d42","","1","10","1.7762%"
"29","0x1cd34dcd789f1195744f91a50b61f712f937b59e","","1","10","1.7762%"
"30","0xf9bb4df81573d2f79715d47d55c375206763d39e","","1","10","1.7762%"
"31","0x4306dd0c18b58e34e587003841d736a449392d49","","1","10","1.7762%"
"32","0x1d972c1f0b82b1e1d2ea9f0cd75708c6dafbcbd6","","1","10","1.7762%"
"33","0x2b5bb697dccdadbe46d3c5e88cb7102f642bd74d","","1","10","1.7762%"
"34","0x83c05ba7eac77706ead671abf2fc37dbf971de7e","creativedays.eth","1","9","1.5986%"
"35","0xca8e40e9b24893da6fa12fd08bf539a867ec1741","ninovee.eth","1","9","1.5986%"
"36","0x849393c5748023828c816c4f634d80cd63636803","*🖕️upayme.eth","1","9","1.5986%"
"37","0xdb5c24bb90030ed61c91896c5111a954d9375b4e","bearmetaljc.eth","1","9","1.5986%"
"38","0xc6a5f0cae28af03e534793efff4a9a607cd5b7f2","","1","8","1.4210%"
"39","0xd81cf1903fc4d385ba7f289fd7380906933585c6","","1","8","1.4210%"
"40","0xe874c776cf8aac61a6808e305f35e81063c99b2b","1owkey.eth","1","7","1.2433%"
"41","0xbf6cace24aa367942c6b9e4b24183f2c013750b0","","1","7","1.2433%"
"42","0xc1ab888079295f612d010e3ed970544d87f0c7fa","gratefulbruh.eth","1","5","0.8881%"
"43","0x7fada1bb886138fb240d20537e3276fe4e896e2d","","1","5","0.8881%"
"44","0x200111118112df72cb1fab2d26a200de66a646d0","","1","5","0.8881%"
"45","0x21ce8883cb29a23a676b6731d60d0ebc6d520afe","","1","5","0.8881%"
"46","0x781e07c74f1997828443e514a95c1ae5a66aa1a6","","1","5","0.8881%"
"47","0x5837fada0a70b6d1bd2e3c70dd96530320216dc9","barefoot13.eth","1","4","0.7105%"
"48","0xeeb5a4b0550171864f8e174885996c8e093e3a3c","kushmonster.eth","1","4","0.7105%"
"49","0x192dcf80af97d19fb85c3e7f4e57b388b93a104f","raystro.eth","1","3","0.5329%"
"50","0xe5f45d4a5941819125cc72f2bff275d37f4a56f9","","1","3","0.5329%"
