addr,amount
0xe4f14360e315025d686c1f9f0a8ba253b86b1e77,10
0x2b4382f0b0e1f3f2fb3e67ed9eac1872d1c239c5,10
0xdf141c065de75bf3f051a63f7e402aae63afa342,10
0x1c829a9a62c9c8d102a4cdc4eaa3d2ec531b325c,10
0xa1a973a38ccc99058fe95da398ac3efad8acb203,10
0x4834614c3993e059a5f70a2d48a4ea90d30e7c13,10
0xa771913259839e9cd0ecfec1701247d32c99df33,10
0x42ec89330cdd2398b2aa32fa5ba3b6ff0a8bab57,10
0x2cf41f874f4b60d8792ae16e5e343ede2f574353,10
0xe6a57651b2e3f38f176c75e977ede51d4ddf6629,10
0x4d2e6ff3fefb7863ba821c8c0fb671a3eaa38cfd,10
0xdd147ff6b673c0cedc589e0b3374fad2d29984f5,10
0x3e853ad59a33c23ecb31c06f9746633da6747b81,10
0x60fecd067c16a85bf8b6da11e47dc7ce9f0437d9,10
0xbb6a0fbe1f1d4d7d3df73efa4dc2888f6dce1736,10
0x57638bd80cfcfdf172fa1d2d67260bc253096b7e,10
0x409c8c9ea976ed4914f2e47618f74c5c53d9ce47,10
0x246c7e0b7ead450848de51d2b54473c72ba1e3b2,10
0xd04a0581a7c9f6332ddc247af0995682bd98e4e9,10
0xa101064ebf57549e47e955c746744342bdf613b5,10
0x59ca8afa16eeab752fc5fef6614ef2c2df993424,10
0x6604f64ef39394f0d947ceb9b1f9697f0a5f199b,10
0x8413f65e93d31f52706c301bcc86e0727fd7c025,10
0xfb868ddd0a223c6a565eca6a150cf31802dd8515,10
0xabcd831eed69fe025aeee88a6a8770ef30303161,10
0x4ad6380c039d201627e3589681a0871906f03c20,10
0xe4684f9ab82c160287b4ce2070ae7aa680341cd7,10
0x2420ac35fe78a6eb5b2648354c06076a8b7a1d42,10
0x1cd34dcd789f1195744f91a50b61f712f937b59e,10
0xf9bb4df81573d2f79715d47d55c375206763d39e,10
0x4306dd0c18b58e34e587003841d736a449392d49,10
0x1d972c1f0b82b1e1d2ea9f0cd75708c6dafbcbd6,10
0x2b5bb697dccdadbe46d3c5e88cb7102f642bd74d,10
0x83c05ba7eac77706ead671abf2fc37dbf971de7e,9
0xca8e40e9b24893da6fa12fd08bf539a867ec1741,9
0x849393c5748023828c816c4f634d80cd63636803,9
0xdb5c24bb90030ed61c91896c5111a954d9375b4e,9
0xc6a5f0cae28af03e534793efff4a9a607cd5b7f2,8
0xd81cf1903fc4d385ba7f289fd7380906933585c6,8
0xe874c776cf8aac61a6808e305f35e81063c99b2b,7
0xbf6cace24aa367942c6b9e4b24183f2c013750b0,7
0xc1ab888079295f612d010e3ed970544d87f0c7fa,5
0x7fada1bb886138fb240d20537e3276fe4e896e2d,5
0x200111118112df72cb1fab2d26a200de66a646d0,5
0x21ce8883cb29a23a676b6731d60d0ebc6d520afe,5
0x781e07c74f1997828443e514a95c1ae5a66aa1a6,5
0x5837fada0a70b6d1bd2e3c70dd96530320216dc9,4
0xeeb5a4b0550171864f8e174885996c8e093e3a3c,4
0x192dcf80af97d19fb85c3e7f4e57b388b93a104f,3
0xe5f45d4a5941819125cc72f2bff275d37f4a56f9,3
0x9d7e4b6d68fbfc700026cbecf828c79969aa90e6,3
0x59064b072478f3eb784701212df85dd3c88eecc8,3
0x4d04e9e70a26bd5436bf9a8cb914cd6dbacd7a5d,3
0x981ccc89405abb70c493fa96fd51e266fc74d9d7,3
0x9ab203d9d767cbfb1c15587b81964202dd6c2656,3
0x4660b501ff52fe814adf0164c327d8e1bb67507c,3
0x48147ce57dc88781c9de7b2200998bdd66e36ebb,3
0x43cbefc7b3e000dc7b01c958b26dabf9d3b67198,3
0x4a530bb00fa38eb04bfda4231eaab19c27d103dc,2
0xf3760597e81c5e478c6a22a1ddb1c4543ac894aa,2
0x87c6fd1979abb85c430d89fa97cd731b440687b2,2
0xa3f35a44a700809000d15f86db8c46cbf4376979,2
0x33a34e27a81436ba9d79276406a285e89a8bd8a8,2
0x2d9cbc4ecfbd1b8f66aa798fd51585ae058daa8b,2
0x1c4760b194121fb8068bba9e90466eafd98931fc,2
0x48a19c6b158491325e84c8837ed8ba95a0403c13,2
0xd96e2ec1e6ab6627c41f6c5c83786542238465bb,1
0xa51223ba3f32c50d2d12a76b96e098309e29f2bc,1
0xb2c5b87e865eb9bbf93d369abae565a47aeb1394,1
0x2ca62bfc6bf7feace4539137f25e29a42d8d874d,1
0x96730fc8d482b7751173036acb80f11e3146ac29,1
0x5236e9500b43c994bb9bbf15cbb33b2b10f955fa,1
